area,Date,C_lower,C_median,C_upper
"Barking and Dagenham",2020-07-28, 1.7180, 2.134,  3.04
"Barking and Dagenham",2020-07-29, 1.9321, 2.397,  3.44
"Barking and Dagenham",2020-07-30, 2.0678, 2.589,  3.79
"Barking and Dagenham",2020-07-31, 2.1323, 2.712,  4.10
"Barking and Dagenham",2020-08-01, 2.1500, 2.791,  4.38
"Barking and Dagenham",2020-08-02, 2.1414, 2.844,  4.66
"Barking and Dagenham",2020-08-03, 2.1204, 2.884,  4.93
"Barking and Dagenham",2020-08-04, 2.0952, 2.920,  5.22
"Barking and Dagenham",2020-08-05, 2.0671, 2.953,  5.50
"Barking and Dagenham",2020-08-06, 2.0398, 2.986,  5.79
"Barking and Dagenham",2020-08-07, 2.0140, 3.020,  6.10
"Barking and Dagenham",2020-08-08, 1.9894, 3.055,  6.43
"Barking and Dagenham",2020-08-09, 1.9680, 3.089,  6.77
"Barking and Dagenham",2020-08-10, 1.9473, 3.124,  7.11
"Barking and Dagenham",2020-08-11, 1.9258, 3.160,  7.49
"Barking and Dagenham",2020-08-12, 1.9062, 3.196,  7.87
"Barking and Dagenham",2020-08-13, 1.8893, 3.232,  8.27
"Barking and Dagenham",2020-08-14, 1.8721, 3.270,  8.67
"Barking and Dagenham",2020-08-15, 1.8546, 3.308,  9.10
"Barking and Dagenham",2020-08-16, 1.8383, 3.348,  9.53
"Barking and Dagenham",2020-08-17, 1.8238, 3.389, 10.01
"Barnet",2020-07-28, 2.6714, 3.285,  4.02
"Barnet",2020-07-29, 2.6165, 3.227,  3.96
"Barnet",2020-07-30, 2.5686, 3.206,  3.99
"Barnet",2020-07-31, 2.5232, 3.206,  4.07
"Barnet",2020-08-01, 2.4769, 3.217,  4.19
"Barnet",2020-08-02, 2.4326, 3.234,  4.33
"Barnet",2020-08-03, 2.3881, 3.252,  4.47
"Barnet",2020-08-04, 2.3465, 3.272,  4.61
"Barnet",2020-08-05, 2.3064, 3.294,  4.76
"Barnet",2020-08-06, 2.2677, 3.316,  4.92
"Barnet",2020-08-07, 2.2324, 3.338,  5.07
"Barnet",2020-08-08, 2.1988, 3.362,  5.24
"Barnet",2020-08-09, 2.1706, 3.386,  5.40
"Barnet",2020-08-10, 2.1383, 3.412,  5.57
"Barnet",2020-08-11, 2.1126, 3.438,  5.75
"Barnet",2020-08-12, 2.0882, 3.466,  5.93
"Barnet",2020-08-13, 2.0649, 3.492,  6.12
"Barnet",2020-08-14, 2.0439, 3.523,  6.31
"Barnet",2020-08-15, 2.0275, 3.554,  6.51
"Barnet",2020-08-16, 2.0059, 3.587,  6.72
"Barnet",2020-08-17, 1.9903, 3.622,  6.93
"Barnsley",2020-07-28, 1.0888, 2.281,  3.97
"Barnsley",2020-07-29, 1.0328, 2.173,  3.81
"Barnsley",2020-07-30, 0.9819, 2.105,  3.79
"Barnsley",2020-07-31, 0.9281, 2.053,  3.84
"Barnsley",2020-08-01, 0.8753, 2.008,  3.93
"Barnsley",2020-08-02, 0.8223, 1.968,  4.03
"Barnsley",2020-08-03, 0.7769, 1.932,  4.14
"Barnsley",2020-08-04, 0.7360, 1.900,  4.25
"Barnsley",2020-08-05, 0.7004, 1.872,  4.36
"Barnsley",2020-08-06, 0.6708, 1.846,  4.46
"Barnsley",2020-08-07, 0.6440, 1.824,  4.57
"Barnsley",2020-08-08, 0.6202, 1.803,  4.67
"Barnsley",2020-08-09, 0.6011, 1.785,  4.77
"Barnsley",2020-08-10, 0.5837, 1.769,  4.88
"Barnsley",2020-08-11, 0.5709, 1.756,  4.98
"Barnsley",2020-08-12, 0.5600, 1.746,  5.08
"Barnsley",2020-08-13, 0.5512, 1.736,  5.18
"Barnsley",2020-08-14, 0.5426, 1.729,  5.28
"Barnsley",2020-08-15, 0.5364, 1.723,  5.39
"Barnsley",2020-08-16, 0.5324, 1.718,  5.49
"Barnsley",2020-08-17, 0.5284, 1.718,  5.59
"Bath and North East Somerset",2020-07-28, 0.7910, 1.074,  1.47
"Bath and North East Somerset",2020-07-29, 0.7480, 1.021,  1.41
"Bath and North East Somerset",2020-07-30, 0.7168, 0.999,  1.42
"Bath and North East Somerset",2020-07-31, 0.6997, 1.008,  1.49
"Bath and North East Somerset",2020-08-01, 0.6946, 1.036,  1.60
"Bath and North East Somerset",2020-08-02, 0.6971, 1.076,  1.73
"Bath and North East Somerset",2020-08-03, 0.7027, 1.123,  1.88
"Bath and North East Somerset",2020-08-04, 0.7109, 1.173,  2.04
"Bath and North East Somerset",2020-08-05, 0.7199, 1.227,  2.21
"Bath and North East Somerset",2020-08-06, 0.7303, 1.283,  2.40
"Bath and North East Somerset",2020-08-07, 0.7409, 1.340,  2.60
"Bath and North East Somerset",2020-08-08, 0.7535, 1.401,  2.81
"Bath and North East Somerset",2020-08-09, 0.7677, 1.464,  3.03
"Bath and North East Somerset",2020-08-10, 0.7849, 1.532,  3.28
"Bath and North East Somerset",2020-08-11, 0.7997, 1.603,  3.54
"Bath and North East Somerset",2020-08-12, 0.8173, 1.678,  3.84
"Bath and North East Somerset",2020-08-13, 0.8381, 1.756,  4.14
"Bath and North East Somerset",2020-08-14, 0.8616, 1.840,  4.46
"Bath and North East Somerset",2020-08-15, 0.8831, 1.929,  4.81
"Bath and North East Somerset",2020-08-16, 0.9064, 2.021,  5.19
"Bath and North East Somerset",2020-08-17, 0.9322, 2.121,  5.61
"Bedford",2020-07-28, 2.7061, 3.549,  4.51
"Bedford",2020-07-29, 2.7351, 3.601,  4.60
"Bedford",2020-07-30, 2.7329, 3.645,  4.72
"Bedford",2020-07-31, 2.6855, 3.653,  4.83
"Bedford",2020-08-01, 2.6038, 3.631,  4.93
"Bedford",2020-08-02, 2.5054, 3.592,  5.02
"Bedford",2020-08-03, 2.4011, 3.545,  5.11
"Bedford",2020-08-04, 2.2961, 3.494,  5.19
"Bedford",2020-08-05, 2.1947, 3.443,  5.27
"Bedford",2020-08-06, 2.0968, 3.393,  5.34
"Bedford",2020-08-07, 2.0060, 3.344,  5.42
"Bedford",2020-08-08, 1.9218, 3.298,  5.50
"Bedford",2020-08-09, 1.8423, 3.252,  5.58
"Bedford",2020-08-10, 1.7675, 3.208,  5.66
"Bedford",2020-08-11, 1.6975, 3.166,  5.74
