Country,area,Date,cases_new,cases_new_smoothed
England,Barking and Dagenham,2020-01-30,0.0,
England,Barking and Dagenham,2020-01-31,0.0,
England,Barking and Dagenham,2020-02-01,0.0,
England,Barking and Dagenham,2020-02-02,0.0,0.0
England,Barking and Dagenham,2020-02-03,0.0,0.0
England,Barking and Dagenham,2020-02-04,0.0,0.0
England,Barking and Dagenham,2020-02-05,0.0,0.0
England,Barking and Dagenham,2020-02-06,0.0,0.0
England,Barking and Dagenham,2020-02-07,0.0,0.0
England,Barking and Dagenham,2020-02-08,0.0,0.0
England,Barking and Dagenham,2020-02-09,0.0,0.0
England,Barking and Dagenham,2020-02-10,0.0,0.0
England,Barking and Dagenham,2020-02-11,0.0,0.0
England,Barking and Dagenham,2020-02-12,0.0,0.0
England,Barking and Dagenham,2020-02-13,0.0,0.0
England,Barking and Dagenham,2020-02-14,0.0,0.0
England,Barking and Dagenham,2020-02-15,0.0,0.0
England,Barking and Dagenham,2020-02-16,0.0,0.0
England,Barking and Dagenham,2020-02-17,0.0,0.0
England,Barking and Dagenham,2020-02-18,0.0,0.0
England,Barking and Dagenham,2020-02-19,0.0,0.0
England,Barking and Dagenham,2020-02-20,0.0,0.0
England,Barking and Dagenham,2020-02-21,0.0,0.0
England,Barking and Dagenham,2020-02-22,0.0,0.0
England,Barking and Dagenham,2020-02-23,0.0,0.0
England,Barking and Dagenham,2020-02-24,0.0,0.0
England,Barking and Dagenham,2020-02-25,0.0,0.0
England,Barking and Dagenham,2020-02-26,0.0,0.0
England,Barking and Dagenham,2020-02-27,0.0,0.14285714285714285
England,Barking and Dagenham,2020-02-28,0.0,0.14285714285714285
England,Barking and Dagenham,2020-02-29,0.0,0.14285714285714285
England,Barking and Dagenham,2020-03-01,1.0,0.14285714285714285
England,Barking and Dagenham,2020-03-02,0.0,0.14285714285714285
England,Barking and Dagenham,2020-03-03,0.0,0.14285714285714285
England,Barking and Dagenham,2020-03-04,0.0,0.14285714285714285
England,Barking and Dagenham,2020-03-05,0.0,0.14285714285714285
England,Barking and Dagenham,2020-03-06,0.0,0.2857142857142857
England,Barking and Dagenham,2020-03-07,0.0,0.2857142857142857
England,Barking and Dagenham,2020-03-08,1.0,0.42857142857142855
England,Barking and Dagenham,2020-03-09,1.0,1.0
England,Barking and Dagenham,2020-03-10,0.0,1.1428571428571428
England,Barking and Dagenham,2020-03-11,1.0,1.4285714285714286
England,Barking and Dagenham,2020-03-12,4.0,1.8571428571428572
England,Barking and Dagenham,2020-03-13,1.0,2.2857142857142856
England,Barking and Dagenham,2020-03-14,2.0,3.0
England,Barking and Dagenham,2020-03-15,4.0,3.5714285714285716
England,Barking and Dagenham,2020-03-16,4.0,3.5714285714285716
England,Barking and Dagenham,2020-03-17,5.0,4.714285714285714
England,Barking and Dagenham,2020-03-18,5.0,5.857142857142857
England,Barking and Dagenham,2020-03-19,4.0,6.285714285714286
England,Barking and Dagenham,2020-03-20,9.0,7.285714285714286
England,Barking and Dagenham,2020-03-21,10.0,8.285714285714286
England,Barking and Dagenham,2020-03-22,7.0,9.142857142857142
England,Barking and Dagenham,2020-03-23,11.0,9.571428571428571
England,Barking and Dagenham,2020-03-24,12.0,10.0
England,Barking and Dagenham,2020-03-25,11.0,10.142857142857142
England,Barking and Dagenham,2020-03-26,7.0,10.714285714285714
England,Barking and Dagenham,2020-03-27,12.0,10.714285714285714
England,Barking and Dagenham,2020-03-28,11.0,11.714285714285714
England,Barking and Dagenham,2020-03-29,11.0,13.285714285714286
England,Barking and Dagenham,2020-03-30,11.0,16.0
England,Barking and Dagenham,2020-03-31,19.0,16.857142857142858
England,Barking and Dagenham,2020-04-01,22.0,17.714285714285715
England,Barking and Dagenham,2020-04-02,26.0,18.857142857142858
England,Barking and Dagenham,2020-04-03,18.0,19.0
England,Barking and Dagenham,2020-04-04,17.0,19.428571428571427
England,Barking and Dagenham,2020-04-05,19.0,19.428571428571427
England,Barking and Dagenham,2020-04-06,12.0,17.857142857142858
England,Barking and Dagenham,2020-04-07,22.0,16.857142857142858
England,Barking and Dagenham,2020-04-08,22.0,15.714285714285714
England,Barking and Dagenham,2020-04-09,15.0,15.571428571428571
England,Barking and Dagenham,2020-04-10,11.0,16.428571428571427
England,Barking and Dagenham,2020-04-11,9.0,15.285714285714286
England,Barking and Dagenham,2020-04-12,18.0,13.857142857142858
England,Barking and Dagenham,2020-04-13,18.0,13.428571428571429
England,Barking and Dagenham,2020-04-14,14.0,13.285714285714286
England,Barking and Dagenham,2020-04-15,12.0,13.0
England,Barking and Dagenham,2020-04-16,12.0,12.571428571428571
England,Barking and Dagenham,2020-04-17,10.0,11.0
England,Barking and Dagenham,2020-04-18,7.0,11.0
England,Barking and Dagenham,2020-04-19,15.0,10.571428571428571
England,Barking and Dagenham,2020-04-20,7.0,10.428571428571429
England,Barking and Dagenham,2020-04-21,14.0,9.428571428571429
England,Barking and Dagenham,2020-04-22,9.0,9.428571428571429
England,Barking and Dagenham,2020-04-23,11.0,8.714285714285714
England,Barking and Dagenham,2020-04-24,3.0,8.857142857142858
England,Barking and Dagenham,2020-04-25,7.0,7.714285714285714
England,Barking and Dagenham,2020-04-26,10.0,7.428571428571429
England,Barking and Dagenham,2020-04-27,8.0,6.571428571428571
England,Barking and Dagenham,2020-04-28,6.0,7.714285714285714
England,Barking and Dagenham,2020-04-29,7.0,7.571428571428571
England,Barking and Dagenham,2020-04-30,5.0,7.285714285714286
England,Barking and Dagenham,2020-05-01,11.0,6.714285714285714
England,Barking and Dagenham,2020-05-02,6.0,6.714285714285714
England,Barking and Dagenham,2020-05-03,8.0,6.285714285714286
England,Barking and Dagenham,2020-05-04,4.0,6.428571428571429
England,Barking and Dagenham,2020-05-05,6.0,5.714285714285714
England,Barking and Dagenham,2020-05-06,4.0,5.428571428571429
England,Barking and Dagenham,2020-05-07,6.0,5.285714285714286
England,Barking and Dagenham,2020-05-08,6.0,5.714285714285714
England,Barking and Dagenham,2020-05-09,4.0,5.285714285714286
England,Barking and Dagenham,2020-05-10,7.0,6.285714285714286
England,Barking and Dagenham,2020-05-11,7.0,5.714285714285714
England,Barking and Dagenham,2020-05-12,3.0,5.0
England,Barking and Dagenham,2020-05-13,11.0,4.714285714285714
England,Barking and Dagenham,2020-05-14,2.0,3.857142857142857
England,Barking and Dagenham,2020-05-15,1.0,3.142857142857143
England,Barking and Dagenham,2020-05-16,2.0,3.4285714285714284
England,Barking and Dagenham,2020-05-17,1.0,2.4285714285714284
England,Barking and Dagenham,2020-05-18,2.0,2.7142857142857144
England,Barking and Dagenham,2020-05-19,5.0,2.7142857142857144
England,Barking and Dagenham,2020-05-20,4.0,2.7142857142857144
England,Barking and Dagenham,2020-05-21,4.0,2.5714285714285716
England,Barking and Dagenham,2020-05-22,1.0,2.7142857142857144
England,Barking and Dagenham,2020-05-23,2.0,2.5714285714285716
England,Barking and Dagenham,2020-05-24,0.0,2.0
England,Barking and Dagenham,2020-05-25,3.0,2.0
England,Barking and Dagenham,2020-05-26,4.0,1.8571428571428572
England,Barking and Dagenham,2020-05-27,0.0,1.5714285714285714
England,Barking and Dagenham,2020-05-28,4.0,1.5714285714285714
England,Barking and Dagenham,2020-05-29,0.0,1.4285714285714286
England,Barking and Dagenham,2020-05-30,0.0,1.0
England,Barking and Dagenham,2020-05-31,0.0,1.5714285714285714
England,Barking and Dagenham,2020-06-01,2.0,1.2857142857142858
England,Barking and Dagenham,2020-06-02,1.0,1.2857142857142858
England,Barking and Dagenham,2020-06-03,4.0,1.2857142857142858
England,Barking and Dagenham,2020-06-04,2.0,1.2857142857142858
England,Barking and Dagenham,2020-06-05,0.0,1.1428571428571428
England,Barking and Dagenham,2020-06-06,0.0,1.0
England,Barking and Dagenham,2020-06-07,0.0,0.42857142857142855
England,Barking and Dagenham,2020-06-08,1.0,0.2857142857142857
England,Barking and Dagenham,2020-06-09,0.0,0.7142857142857143
England,Barking and Dagenham,2020-06-10,0.0,1.0
England,Barking and Dagenham,2020-06-11,1.0,1.1428571428571428
England,Barking and Dagenham,2020-06-12,3.0,1.1428571428571428
England,Barking and Dagenham,2020-06-13,2.0,1.1428571428571428
England,Barking and Dagenham,2020-06-14,1.0,1.4285714285714286
England,Barking and Dagenham,2020-06-15,1.0,1.2857142857142858
England,Barking and Dagenham,2020-06-16,0.0,0.8571428571428571
England,Barking and Dagenham,2020-06-17,2.0,0.5714285714285714
England,Barking and Dagenham,2020-06-18,0.0,0.7142857142857143
England,Barking and Dagenham,2020-06-19,0.0,0.7142857142857143
England,Barking and Dagenham,2020-06-20,0.0,0.8571428571428571
England,Barking and Dagenham,2020-06-21,2.0,1.1428571428571428
England,Barking and Dagenham,2020-06-22,1.0,1.4285714285714286
England,Barking and Dagenham,2020-06-23,1.0,1.8571428571428572
England,Barking and Dagenham,2020-06-24,4.0,2.0
England,Barking and Dagenham,2020-06-25,2.0,1.7142857142857142
England,Barking and Dagenham,2020-06-26,3.0,1.8571428571428572
England,Barking and Dagenham,2020-06-27,1.0,2.0
England,Barking and Dagenham,2020-06-28,0.0,1.7142857142857142
England,Barking and Dagenham,2020-06-29,2.0,1.4285714285714286
England,Barking and Dagenham,2020-06-30,2.0,1.0
England,Barking and Dagenham,2020-07-01,2.0,0.8571428571428571
England,Barking and Dagenham,2020-07-02,0.0,0.8571428571428571
England,Barking and Dagenham,2020-07-03,0.0,0.5714285714285714
England,Barking and Dagenham,2020-07-04,0.0,0.42857142857142855
England,Barking and Dagenham,2020-07-05,0.0,0.5714285714285714
England,Barking and Dagenham,2020-07-06,0.0,0.5714285714285714
England,Barking and Dagenham,2020-07-07,1.0,0.7142857142857143
England,Barking and Dagenham,2020-07-08,3.0,0.7142857142857143
England,Barking and Dagenham,2020-07-09,0.0,0.8571428571428571
England,Barking and Dagenham,2020-07-10,1.0,1.0
England,Barking and Dagenham,2020-07-11,0.0,1.1428571428571428
England,Barking and Dagenham,2020-07-12,1.0,1.2857142857142858
England,Barking and Dagenham,2020-07-13,1.0,1.4285714285714286
England,Barking and Dagenham,2020-07-14,2.0,1.4285714285714286
England,Barking and Dagenham,2020-07-15,4.0,1.4285714285714286
England,Barnet,2020-01-30,0.0,0.14285714285714285
England,Barnet,2020-01-31,0.0,0.0
England,Barnet,2020-02-01,0.0,0.0
England,Barnet,2020-02-02,0.0,0.0
England,Barnet,2020-02-03,0.0,0.0
England,Barnet,2020-02-04,0.0,0.0
England,Barnet,2020-02-05,0.0,0.0
England,Barnet,2020-02-06,0.0,0.0
England,Barnet,2020-02-07,0.0,0.0
England,Barnet,2020-02-08,0.0,0.0
England,Barnet,2020-02-09,0.0,0.0
England,Barnet,2020-02-10,0.0,0.0
England,Barnet,2020-02-11,0.0,0.0
England,Barnet,2020-02-12,0.0,0.0
England,Barnet,2020-02-13,0.0,0.0
England,Barnet,2020-02-14,0.0,0.0
England,Barnet,2020-02-15,0.0,0.0
England,Barnet,2020-02-16,0.0,0.0
England,Barnet,2020-02-17,0.0,0.0
England,Barnet,2020-02-18,0.0,0.0
England,Barnet,2020-02-19,0.0,0.0
England,Barnet,2020-02-20,0.0,0.0
England,Barnet,2020-02-21,0.0,0.0
