area,Date,C_lower,C_median,C_upper
"Barking and Dagenham",2020-07-28, 1.6538, 2.256,  3.40
"Barking and Dagenham",2020-07-29, 1.8453, 2.522,  3.82
"Barking and Dagenham",2020-07-30, 1.9664, 2.722,  4.23
"Barking and Dagenham",2020-07-31, 2.0228, 2.859,  4.61
"Barking and Dagenham",2020-08-01, 2.0335, 2.951,  4.97
"Barking and Dagenham",2020-08-02, 2.0187, 3.020,  5.34
"Barking and Dagenham",2020-08-03, 1.9938, 3.076,  5.72
"Barking and Dagenham",2020-08-04, 1.9631, 3.129,  6.11
"Barking and Dagenham",2020-08-05, 1.9308, 3.179,  6.53
"Barking and Dagenham",2020-08-06, 1.8991, 3.230,  6.96
"Barking and Dagenham",2020-08-07, 1.8720, 3.280,  7.42
"Barking and Dagenham",2020-08-08, 1.8421, 3.331,  7.89
"Barking and Dagenham",2020-08-09, 1.8149, 3.381,  8.39
"Barking and Dagenham",2020-08-10, 1.7922, 3.432,  8.92
"Barking and Dagenham",2020-08-11, 1.7711, 3.484,  9.48
"Barking and Dagenham",2020-08-12, 1.7525, 3.538, 10.07
"Barking and Dagenham",2020-08-13, 1.7364, 3.592, 10.68
"Barking and Dagenham",2020-08-14, 1.7220, 3.647, 11.31
"Barking and Dagenham",2020-08-15, 1.7072, 3.703, 12.01
"Barking and Dagenham",2020-08-16, 1.6981, 3.761, 12.72
"Barking and Dagenham",2020-08-17, 1.6863, 3.817, 13.45
"Barnet",2020-07-28, 2.3117, 3.203,  4.32
"Barnet",2020-07-29, 2.2618, 3.147,  4.27
"Barnet",2020-07-30, 2.2091, 3.123,  4.33
"Barnet",2020-07-31, 2.1489, 3.118,  4.45
"Barnet",2020-08-01, 2.0843, 3.123,  4.62
"Barnet",2020-08-02, 2.0203, 3.132,  4.82
"Barnet",2020-08-03, 1.9609, 3.144,  5.02
"Barnet",2020-08-04, 1.9044, 3.158,  5.23
"Barnet",2020-08-05, 1.8535, 3.174,  5.45
"Barnet",2020-08-06, 1.8035, 3.190,  5.67
"Barnet",2020-08-07, 1.7571, 3.208,  5.91
"Barnet",2020-08-08, 1.7180, 3.228,  6.15
"Barnet",2020-08-09, 1.6837, 3.248,  6.40
"Barnet",2020-08-10, 1.6471, 3.270,  6.66
"Barnet",2020-08-11, 1.6156, 3.294,  6.93
"Barnet",2020-08-12, 1.5893, 3.319,  7.20
"Barnet",2020-08-13, 1.5680, 3.346,  7.50
"Barnet",2020-08-14, 1.5471, 3.376,  7.79
"Barnet",2020-08-15, 1.5309, 3.407,  8.10
"Barnet",2020-08-16, 1.5156, 3.440,  8.43
"Barnet",2020-08-17, 1.5020, 3.476,  8.75
"Barnsley",2020-07-28, 1.3333, 2.442,  3.83
"Barnsley",2020-07-29, 1.2686, 2.335,  3.68
"Barnsley",2020-07-30, 1.2145, 2.269,  3.65
"Barnsley",2020-07-31, 1.1608, 2.223,  3.68
"Barnsley",2020-08-01, 1.1077, 2.186,  3.75
"Barnsley",2020-08-02, 1.0582, 2.156,  3.83
"Barnsley",2020-08-03, 1.0111, 2.128,  3.91
"Barnsley",2020-08-04, 0.9672, 2.104,  4.00
"Barnsley",2020-08-05, 0.9275, 2.082,  4.09
"Barnsley",2020-08-06, 0.8936, 2.062,  4.17
"Barnsley",2020-08-07, 0.8663, 2.044,  4.25
"Barnsley",2020-08-08, 0.8415, 2.029,  4.33
"Barnsley",2020-08-09, 0.8184, 2.015,  4.40
"Barnsley",2020-08-10, 0.8014, 2.005,  4.48
"Barnsley",2020-08-11, 0.7857, 1.996,  4.56
"Barnsley",2020-08-12, 0.7731, 1.988,  4.64
"Barnsley",2020-08-13, 0.7607, 1.984,  4.72
"Barnsley",2020-08-14, 0.7537, 1.980,  4.80
"Barnsley",2020-08-15, 0.7467, 1.978,  4.87
"Barnsley",2020-08-16, 0.7404, 1.979,  4.96
"Barnsley",2020-08-17, 0.7374, 1.980,  5.04
"Bath and North East Somerset",2020-07-28, 0.6856, 1.028,  1.52
"Bath and North East Somerset",2020-07-29, 0.6487, 0.978,  1.46
"Bath and North East Somerset",2020-07-30, 0.6185, 0.954,  1.47
"Bath and North East Somerset",2020-07-31, 0.5994, 0.959,  1.55
"Bath and North East Somerset",2020-08-01, 0.5889, 0.981,  1.67
"Bath and North East Somerset",2020-08-02, 0.5840, 1.014,  1.82
"Bath and North East Somerset",2020-08-03, 0.5825, 1.053,  1.98
"Bath and North East Somerset",2020-08-04, 0.5838, 1.096,  2.16
"Bath and North East Somerset",2020-08-05, 0.5870, 1.141,  2.34
"Bath and North East Somerset",2020-08-06, 0.5923, 1.188,  2.55
"Bath and North East Somerset",2020-08-07, 0.5967, 1.236,  2.76
