area,Rt_lower,Rt_median,Rt_upper
"Barking and Dagenham",0.79,1.07,1.61
"Barnet",0.75,1.04,1.40
"Barnsley",0.31,0.58,0.93
"Bath and North East Somerset",0.74,1.12,1.66
"Bedford",0.70,0.98,1.33
"Bexley",0.74,1.03,1.43
"Birmingham",0.93,1.11,1.35
"Blackburn with Darwen",1.01,1.23,1.53
"Blackpool",0.78,1.13,1.66
"Bolton",0.67,0.97,1.26
"Bournemouth, Christchurch and Poole",0.81,1.18,1.88
"Bracknell Forest",0.66,1.05,1.52
"Bradford",1.03,1.22,1.44
"Brent",0.91,1.22,1.88
"Brighton and Hove",0.81,1.13,1.69
"Bristol, City of",0.89,1.23,1.86
"Bromley",0.64,1.00,1.39
"Buckinghamshire",0.71,1.02,1.39
"Bury",0.89,1.20,1.66
"Calderdale",0.91,1.15,1.49
"Cambridgeshire",0.62,0.90,1.17
"Camden",0.78,1.09,1.69
"Central Bedfordshire",0.37,0.71,1.05
"Cheshire East",0.63,1.01,1.37
"Cheshire West and Chester",0.73,1.06,1.42
"Cornwall and Isles of Scilly",0.89,1.37,2.32
"County Durham",0.69,1.01,1.44
"Coventry",0.90,1.19,1.72
"Croydon",0.78,1.08,1.59
"Cumbria",0.82,1.10,1.47
"Darlington",0.57,0.95,1.39
"Derby",0.51,0.86,1.18
"Derbyshire",0.76,1.03,1.40
"Devon",0.69,1.04,1.48
"Doncaster",0.57,0.89,1.23
"Dorset",0.61,1.04,1.53
"Dudley",0.74,1.07,1.49
"Ealing",0.67,1.01,1.34
"East Riding of Yorkshire",0.62,0.96,1.47
"East Sussex",0.59,0.88,1.17
"Enfield",0.57,0.93,1.24
"Essex",0.73,0.95,1.19
"Gateshead",0.53,0.89,1.28
"Gloucestershire",0.86,1.20,1.79
"Greenwich",0.89,1.24,2.13
"Hackney and City of London",0.82,1.06,1.38
"Halton",0.62,1.06,1.48
"Hammersmith and Fulham",0.82,1.12,1.75
"Hampshire",0.87,1.17,1.59
"Haringey",0.67,0.99,1.33
"Harrow",0.76,1.07,1.53
"Hartlepool",0.71,1.04,1.68
"Havering",0.63,0.95,1.26
"Herefordshire, County of",0.32,0.65,1.04
"Hertfordshire",0.86,1.11,1.51
"Hillingdon",0.70,1.03,1.39
"Hounslow",0.76,1.07,1.49
"Isle of Wight",0.69,1.11,1.77
"Islington",0.75,1.05,1.45
"Kensington and Chelsea",0.75,1.07,1.53
"Kent",0.82,1.01,1.22
"Kingston upon Hull, City of",0.58,0.90,1.27
"Kingston upon Thames",0.71,1.06,1.51
"Kirklees",0.75,0.96,1.15
"Knowsley",0.72,1.11,1.59
"Lambeth",0.81,1.09,1.56
"Lancashire",0.99,1.19,1.45
"Leeds",0.75,0.99,1.26
"Leicester",0.79,0.94,1.11
"Leicestershire",0.55,0.77,1.00
"Lewisham",0.74,1.05,1.44
"Lincolnshire",0.63,0.92,1.27
"Liverpool",1.03,1.44,2.16
"Luton",0.60,0.87,1.11
"Manchester",1.21,1.52,1.91
"Medway",0.62,0.94,1.28
"Merton",0.54,0.95,1.29
"Middlesbrough",0.60,0.95,1.36
"Milton Keynes",0.72,1.02,1.49
"Newcastle upon Tyne",0.41,0.80,1.17
"Newham",0.74,1.03,1.40
"Norfolk",0.67,0.98,1.41
"North East Lincolnshire",0.56,0.90,1.34
"North Lincolnshire",0.60,0.93,1.36
"North Somerset",0.73,1.11,1.66
"North Tyneside",0.58,0.93,1.38
"North Yorkshire",0.74,1.05,1.52
"Northamptonshire",0.69,0.90,1.11
"Northumberland",0.60,0.95,1.44
"Nottingham",0.59,0.90,1.22
"Nottinghamshire",0.77,1.04,1.45
"Oldham",1.14,1.48,1.90
"Oxfordshire",0.92,1.20,1.63
"Peterborough",0.72,0.98,1.32
"Plymouth",0.72,1.12,1.77
"Portsmouth",0.68,1.08,1.59
"Reading",0.84,1.16,1.73
"Redbridge",0.70,1.00,1.34
"Redcar and Cleveland",0.55,0.93,1.39
"Richmond upon Thames",0.78,1.11,1.68
"Rochdale",0.66,0.90,1.14
"Rotherham",0.57,0.83,1.09
"Rutland",0.51,0.88,1.26
"Salford",0.93,1.21,1.58
"Sandwell",0.92,1.14,1.44
"Sefton",0.66,1.03,1.38
"Sheffield",0.86,1.06,1.34
"Shropshire",0.80,1.13,1.69
"Slough",0.76,1.09,1.61
"Solihull",0.69,1.02,1.38
"Somerset",0.70,1.06,1.52
"South Gloucestershire",0.72,1.10,1.60
"South Tyneside",0.60,0.95,1.45
"Southampton",0.82,1.17,1.78
"Southend-on-Sea",0.53,0.88,1.22
"Southwark",0.76,1.05,1.43
"St. Helens",0.70,1.10,1.56
"Staffordshire",0.81,1.06,1.38
"Stockport",0.98,1.31,1.90
"Stockton-on-Tees",0.69,1.03,1.62
"Stoke-on-Trent",0.65,1.00,1.35
"Suffolk",0.84,1.20,1.93
"Sunderland",0.57,0.91,1.33
"Surrey",0.85,1.12,1.50
"Sutton",0.80,1.10,1.63
"Swindon",1.29,2.01,2.95
"Tameside",0.88,1.17,1.59
