AREA,CODE,POPULATION,DENSITY,SQUARE_KM_AREA,LAT,LONG
County Durham,E06000047,530094.0,238.0,2226.0,54.685131,-1.8405
Darlington,E06000005,106803.0,541.0,197.0,54.535339,-1.56835
Hartlepool,E06000001,93663.0,999.0,94.0,54.67614,-1.27018
Middlesbrough,E06000002,140980.0,2616.0,54.0,54.54467,-1.21099
Northumberland,E06000057,322434.0,64.0,5018.0,55.300369,-2.07523
Redcar and Cleveland,E06000003,137150.0,560.0,245.0,54.56752,-1.00608
Stockton-on-Tees,E06000004,197348.0,963.0,205.0,54.556911,-1.30664
Gateshead,E08000037,202055.0,1419.0,142.0,54.931198,-1.6868
Newcastle upon Tyne,E08000021,302820.0,2669.0,113.0,55.021011,-1.65297
North Tyneside,E08000022,207913.0,2526.0,82.0,55.028961,-1.50923
South Tyneside,E08000023,150976.0,2343.0,64.0,54.969879,-1.44679
Sunderland,E08000024,277705.0,2021.0,137.0,54.857189,-1.43344
Blackburn with Darwen,E06000008,149696.0,1092.0,137.0,53.700802,-2.4636
Blackpool,E06000009,139446.0,3999.0,35.0,53.82164,-3.02199
Cheshire East,E06000049,384152.0,329.0,1166.0,53.167931,-2.29299
Cheshire West and Chester,E06000050,343071.0,373.0,920.0,53.163361,-2.70298
Halton,E06000006,129410.0,1636.0,79.0,53.33424,-2.68853
Warrington,E06000007,210014.0,1163.0,181.0,53.391628,-2.56167
Allerdale,E07000026,97761.0,79.0,1242.0,54.685242,-3.2809
Barrow-in-Furness,E07000027,67049.0,861.0,78.0,54.15731,-3.1999
Carlisle,E07000028,108678.0,105.0,1038.0,54.978329,-2.80498
Copeland,E07000029,68183.0,93.0,732.0,54.466171,-3.37664
Eden,E07000030,53253.0,25.0,2142.0,54.631069,-2.62678
South Lakeland,E07000031,105088.0,68.0,1535.0,54.29908,-2.78108
Bolton,E08000001,287550.0,2057.0,140.0,53.584492,-2.47952
Bury,E08000002,190990.0,1920.0,99.0,53.593102,-2.3088
Manchester,E08000003,552858.0,4781.0,116.0,53.470089,-2.23359
Oldham,E08000004,237110.0,1666.0,142.0,53.557678,-2.05274
Rochdale,E08000005,222412.0,1407.0,158.0,53.60741,-2.14784
Salford,E08000006,258834.0,2663.0,97.0,53.479271,-2.38485
Stockport,E08000007,293423.0,2328.0,126.0,53.391159,-2.12467
Tameside,E08000008,226493.0,2196.0,103.0,53.478668,-2.077
Trafford,E08000009,237354.0,2238.0,106.0,53.41671,-2.36572
Wigan,E08000010,328662.0,1747.0,188.0,53.51445,-2.57247
Burnley,E07000117,88920.0,803.0,111.0,53.774059,-2.2308
Chorley,E07000118,118216.0,583.0,203.0,53.672401,-2.61921
Fylde,E07000119,80780.0,488.0,166.0,53.797089,-2.91914
Hyndburn,E07000120,81043.0,1110.0,73.0,53.756481,-2.38964
Lancaster,E07000121,146038.0,258.0,567.0,54.07901,-2.6603
Pendle,E07000122,92112.0,544.0,169.0,53.88636,-2.18957
Preston,E07000123,143135.0,1006.0,142.0,53.822021,-2.71809
Ribble Valley,E07000124,60888.0,104.0,583.0,53.9245,-2.4174
Rossendale,E07000125,71482.0,518.0,138.0,53.68478,-2.26149
South Ribble,E07000126,110788.0,979.0,113.0,53.726749,-2.72871
West Lancashire,E07000127,114306.0,330.0,347.0,53.612831,-2.86893
Wyre,E07000128,112091.0,397.0,282.0,53.89991,-2.80359
Knowsley,E08000011,150862.0,1744.0,87.0,53.437881,-2.83297
Liverpool,E08000012,498042.0,4453.0,112.0,53.408298,-2.91364
Sefton,E08000014,276410.0,1765.0,157.0,53.482101,-2.99177
St. Helens,E08000013,180585.0,1324.0,136.0,53.458618,-2.7031
Wirral,E08000015,324011.0,2013.0,161.0,53.374779,-3.06701
East Riding of Yorkshire,E06000011,341173.0,142.0,2404.0,53.881119,-0.66195
"Kingston upon Hull, City of",E06000010,259778.0,3629.0,72.0,53.769199,-0.30382
North East Lincolnshire,E06000012,159563.0,828.0,193.0,53.52327,-0.13911
North Lincolnshire,E06000013,172292.0,204.0,846.0,53.58643,-0.52407
York,E06000014,210618.0,775.0,272.0,53.96582,-1.07375
Craven,E07000163,57142.0,49.0,1177.0,54.053761,-2.16168
Hambleton,E07000164,91594.0,70.0,1311.0,54.30872,-1.34049
Harrogate,E07000165,160831.0,123.0,1308.0,54.07708,-1.58161
Richmondshire,E07000166,53730.0,41.0,1319.0,54.357609,-1.98552
Ryedale,E07000167,55380.0,37.0,1507.0,54.200211,-0.84277
