area,Date,Rt_025,Rt_05,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_95,Rt_975,provenance
"North East and Yorkshire",2020-12-27,1.05,1.06,1.07,1.09,1.10,1.11,1.12,1.13,1.14,1.15,1.15,1.16,1.16,1.17,1.17,inferred
"North East and Yorkshire",2020-12-28,1.05,1.06,1.07,1.09,1.10,1.11,1.12,1.13,1.14,1.15,1.15,1.16,1.16,1.17,1.17,inferred
"North East and Yorkshire",2020-12-29,1.05,1.06,1.07,1.09,1.10,1.11,1.12,1.13,1.14,1.15,1.15,1.16,1.16,1.17,1.17,inferred
"North East and Yorkshire",2020-12-30,1.05,1.06,1.07,1.09,1.10,1.11,1.12,1.13,1.14,1.15,1.15,1.16,1.16,1.17,1.17,inferred
"North East and Yorkshire",2020-12-31,1.05,1.06,1.07,1.09,1.10,1.11,1.12,1.13,1.14,1.15,1.15,1.16,1.16,1.17,1.17,inferred
"North East and Yorkshire",2021-01-01,1.05,1.06,1.07,1.09,1.10,1.11,1.12,1.13,1.14,1.15,1.15,1.16,1.16,1.17,1.17,inferred
"North East and Yorkshire",2021-01-02,1.05,1.06,1.07,1.09,1.10,1.11,1.12,1.13,1.14,1.15,1.15,1.16,1.16,1.17,1.17,inferred
"North East and Yorkshire",2021-01-03,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.86,0.86,0.87,inferred
"North East and Yorkshire",2021-01-04,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.86,0.86,0.87,inferred
"North East and Yorkshire",2021-01-05,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.86,0.86,0.87,inferred
"North East and Yorkshire",2021-01-06,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.86,0.86,0.87,inferred
"North East and Yorkshire",2021-01-07,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.86,0.86,0.87,inferred
"North East and Yorkshire",2021-01-08,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.86,0.86,0.87,inferred
"North East and Yorkshire",2021-01-09,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.86,0.86,0.87,inferred
"North East and Yorkshire",2021-01-10,0.84,0.84,0.85,0.86,0.86,0.86,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-01-11,0.84,0.84,0.85,0.86,0.86,0.86,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-01-12,0.84,0.84,0.85,0.86,0.86,0.86,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-01-13,0.84,0.84,0.85,0.86,0.86,0.86,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-01-14,0.84,0.84,0.85,0.86,0.86,0.86,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-01-15,0.84,0.84,0.85,0.86,0.86,0.86,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-01-16,0.84,0.84,0.85,0.86,0.86,0.86,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-01-17,0.77,0.78,0.78,0.79,0.80,0.80,0.81,0.81,0.82,0.84,0.84,0.85,0.86,0.87,0.88,inferred
"North East and Yorkshire",2021-01-18,0.77,0.78,0.78,0.79,0.80,0.80,0.81,0.81,0.82,0.84,0.84,0.85,0.86,0.87,0.88,inferred
"North East and Yorkshire",2021-01-19,0.77,0.78,0.78,0.79,0.80,0.80,0.81,0.81,0.82,0.84,0.84,0.85,0.86,0.87,0.88,inferred
"North East and Yorkshire",2021-01-20,0.77,0.78,0.78,0.79,0.80,0.80,0.81,0.81,0.82,0.84,0.84,0.85,0.86,0.87,0.88,inferred
"North East and Yorkshire",2021-01-21,0.77,0.78,0.78,0.79,0.80,0.80,0.81,0.81,0.82,0.84,0.84,0.85,0.86,0.87,0.88,inferred
"North East and Yorkshire",2021-01-22,0.77,0.78,0.78,0.79,0.80,0.80,0.81,0.81,0.82,0.84,0.84,0.85,0.86,0.87,0.88,inferred
"North East and Yorkshire",2021-01-23,0.77,0.78,0.78,0.79,0.80,0.80,0.81,0.81,0.82,0.84,0.84,0.85,0.86,0.87,0.88,inferred
"North East and Yorkshire",2021-01-24,0.78,0.78,0.79,0.80,0.81,0.81,0.82,0.83,0.84,0.85,0.86,0.86,0.88,0.89,0.89,inferred
"North East and Yorkshire",2021-01-25,0.78,0.78,0.79,0.80,0.81,0.81,0.82,0.83,0.84,0.85,0.86,0.86,0.88,0.89,0.89,inferred
"North East and Yorkshire",2021-01-26,0.78,0.78,0.79,0.80,0.81,0.81,0.82,0.83,0.84,0.85,0.86,0.86,0.88,0.89,0.89,inferred
"North East and Yorkshire",2021-01-27,0.78,0.78,0.79,0.80,0.81,0.81,0.82,0.83,0.84,0.85,0.86,0.86,0.88,0.89,0.89,inferred
"North East and Yorkshire",2021-01-28,0.78,0.78,0.79,0.80,0.81,0.81,0.82,0.83,0.84,0.85,0.86,0.86,0.88,0.89,0.89,inferred
"North East and Yorkshire",2021-01-29,0.78,0.78,0.79,0.80,0.81,0.81,0.82,0.83,0.84,0.85,0.86,0.86,0.88,0.89,0.89,inferred
"North East and Yorkshire",2021-01-30,0.78,0.78,0.79,0.80,0.81,0.81,0.82,0.83,0.84,0.85,0.86,0.86,0.88,0.89,0.89,inferred
"North East and Yorkshire",2021-01-31,0.80,0.80,0.81,0.82,0.83,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.91,0.91,inferred
"North East and Yorkshire",2021-02-01,0.80,0.80,0.81,0.82,0.83,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.91,0.91,inferred
"North East and Yorkshire",2021-02-02,0.80,0.80,0.81,0.82,0.83,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.91,0.91,inferred
"North East and Yorkshire",2021-02-03,0.80,0.80,0.81,0.82,0.83,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.91,0.91,inferred
"North East and Yorkshire",2021-02-04,0.80,0.80,0.81,0.82,0.83,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.91,0.91,inferred
"North East and Yorkshire",2021-02-05,0.80,0.80,0.81,0.82,0.83,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.91,0.91,inferred
"North East and Yorkshire",2021-02-06,0.80,0.80,0.81,0.82,0.83,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.91,0.91,inferred
"North East and Yorkshire",2021-02-07,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.89,0.90,0.91,0.92,0.92,0.93,0.94,0.95,inferred
"North East and Yorkshire",2021-02-08,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.89,0.90,0.91,0.92,0.92,0.93,0.94,0.95,inferred
"North East and Yorkshire",2021-02-09,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.89,0.90,0.91,0.92,0.92,0.93,0.94,0.95,inferred
"North East and Yorkshire",2021-02-10,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.89,0.90,0.91,0.92,0.92,0.93,0.94,0.95,inferred
"North East and Yorkshire",2021-02-11,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.89,0.90,0.91,0.92,0.92,0.93,0.94,0.95,inferred
"North East and Yorkshire",2021-02-12,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.89,0.90,0.91,0.92,0.92,0.93,0.94,0.95,inferred
"North East and Yorkshire",2021-02-13,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.89,0.90,0.91,0.92,0.92,0.93,0.94,0.95,inferred
"North East and Yorkshire",2021-02-14,0.73,0.74,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.84,0.85,inferred
"North East and Yorkshire",2021-02-15,0.73,0.74,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.84,0.85,inferred
"North East and Yorkshire",2021-02-16,0.73,0.74,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.84,0.85,inferred
"North East and Yorkshire",2021-02-17,0.73,0.74,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.84,0.85,inferred
"North East and Yorkshire",2021-02-18,0.73,0.74,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.84,0.85,inferred
"North East and Yorkshire",2021-02-19,0.73,0.74,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.84,0.85,inferred
"North East and Yorkshire",2021-02-20,0.73,0.74,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.84,0.85,inferred
"North East and Yorkshire",2021-02-21,0.73,0.74,0.74,0.76,0.76,0.77,0.78,0.78,0.80,0.81,0.82,0.82,0.85,0.86,0.87,inferred
"North East and Yorkshire",2021-02-22,0.73,0.74,0.74,0.76,0.76,0.77,0.78,0.78,0.80,0.81,0.82,0.82,0.85,0.86,0.87,inferred
"North East and Yorkshire",2021-02-23,0.73,0.74,0.74,0.76,0.76,0.77,0.78,0.78,0.80,0.81,0.82,0.82,0.85,0.86,0.87,inferred
"North East and Yorkshire",2021-02-24,0.73,0.74,0.74,0.76,0.76,0.77,0.78,0.78,0.80,0.81,0.82,0.82,0.85,0.86,0.87,inferred
"North East and Yorkshire",2021-02-25,0.73,0.74,0.74,0.76,0.76,0.77,0.78,0.78,0.80,0.81,0.82,0.82,0.85,0.86,0.87,inferred
"North East and Yorkshire",2021-02-26,0.73,0.74,0.74,0.76,0.76,0.77,0.78,0.78,0.80,0.81,0.82,0.82,0.85,0.86,0.87,inferred
"North East and Yorkshire",2021-02-27,0.73,0.74,0.74,0.76,0.76,0.77,0.78,0.78,0.80,0.81,0.82,0.82,0.85,0.86,0.87,inferred
"North East and Yorkshire",2021-02-28,0.90,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.98,0.99,0.99,1.00,1.01,1.02,inferred
"North East and Yorkshire",2021-03-01,0.90,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.98,0.99,0.99,1.00,1.01,1.02,inferred
"North East and Yorkshire",2021-03-02,0.90,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.98,0.99,0.99,1.00,1.01,1.02,inferred
"North East and Yorkshire",2021-03-03,0.90,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.98,0.99,0.99,1.00,1.01,1.02,inferred
"North East and Yorkshire",2021-03-04,0.90,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.98,0.99,0.99,1.00,1.01,1.02,inferred
"North East and Yorkshire",2021-03-05,0.90,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.98,0.99,0.99,1.00,1.01,1.02,inferred
"North East and Yorkshire",2021-03-06,0.90,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.98,0.99,0.99,1.00,1.01,1.02,inferred
"North East and Yorkshire",2021-03-07,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.02,1.03,1.04,1.05,1.05,inferred
"North East and Yorkshire",2021-03-08,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.02,1.03,1.04,1.05,1.05,inferred
"North East and Yorkshire",2021-03-09,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.02,1.03,1.04,1.05,1.05,inferred
"North East and Yorkshire",2021-03-10,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.02,1.03,1.04,1.05,1.05,inferred
"North East and Yorkshire",2021-03-11,0.96,0.97,0.98,0.99,0.99,0.99,1.00,1.01,1.01,1.02,1.02,1.03,1.04,1.05,1.05,inferred
