area,Date,C_025,C_25,C_50,C_75,C_975,provenance
"North East and Yorkshire",2020-12-17, 2173.9, 2179.3, 2183.8, 2208.4, 2217.4,inferred
"North East and Yorkshire",2020-12-18, 2170.9, 2212.5, 2232.1, 2254.0, 2352.2,inferred
"North East and Yorkshire",2020-12-19, 2219.0, 2360.6, 2397.1, 2416.8, 2543.7,inferred
"North East and Yorkshire",2020-12-20, 2410.3, 2551.3, 2582.1, 2644.4, 2693.5,inferred
"North East and Yorkshire",2020-12-21, 2648.5, 2695.8, 2727.8, 2783.9, 2815.3,inferred
"North East and Yorkshire",2020-12-22, 2794.5, 2819.3, 2836.2, 2871.7, 2911.2,inferred
"North East and Yorkshire",2020-12-23, 2873.6, 2911.8, 2932.8, 2951.6, 2992.7,inferred
"North East and Yorkshire",2020-12-24, 2959.0, 3005.1, 3030.6, 3054.3, 3095.5,inferred
"North East and Yorkshire",2020-12-25, 3070.6, 3126.5, 3155.6, 3184.6, 3238.4,inferred
"North East and Yorkshire",2020-12-26, 3212.7, 3276.7, 3312.8, 3349.1, 3412.8,inferred
"North East and Yorkshire",2020-12-27, 3375.9, 3451.4, 3493.2, 3539.4, 3615.0,inferred
"North East and Yorkshire",2020-12-28, 3576.4, 3650.4, 3691.7, 3737.0, 3818.8,inferred
"North East and Yorkshire",2020-12-29, 3804.7, 3866.5, 3898.5, 3937.8, 4009.0,inferred
"North East and Yorkshire",2020-12-30, 4023.0, 4077.8, 4106.1, 4133.3, 4188.3,inferred
"North East and Yorkshire",2020-12-31, 4223.3, 4279.2, 4307.5, 4335.0, 4391.3,inferred
"North East and Yorkshire",2021-01-01, 4412.5, 4477.3, 4513.7, 4553.0, 4634.1,inferred
"North East and Yorkshire",2021-01-02, 4600.7, 4686.8, 4733.5, 4787.0, 4889.3,inferred
"North East and Yorkshire",2021-01-03, 4779.4, 4879.8, 4935.1, 4987.8, 5079.6,inferred
"North East and Yorkshire",2021-01-04, 4830.8, 4914.7, 4963.9, 5008.7, 5084.2,inferred
"North East and Yorkshire",2021-01-05, 4691.7, 4762.8, 4799.7, 4839.8, 4910.4,inferred
"North East and Yorkshire",2021-01-06, 4481.8, 4541.5, 4572.7, 4605.1, 4667.2,inferred
"North East and Yorkshire",2021-01-07, 4284.0, 4341.5, 4373.5, 4405.4, 4466.9,inferred
"North East and Yorkshire",2021-01-08, 4126.4, 4190.9, 4221.6, 4255.1, 4319.2,inferred
"North East and Yorkshire",2021-01-09, 4010.4, 4075.0, 4108.4, 4143.5, 4205.2,inferred
"North East and Yorkshire",2021-01-10, 3917.4, 3983.5, 4018.5, 4054.2, 4116.2,inferred
"North East and Yorkshire",2021-01-11, 3842.3, 3904.7, 3938.1, 3971.5, 4031.0,inferred
"North East and Yorkshire",2021-01-12, 3773.2, 3828.8, 3857.9, 3887.1, 3935.6,inferred
"North East and Yorkshire",2021-01-13, 3705.6, 3755.9, 3781.1, 3805.3, 3851.2,inferred
"North East and Yorkshire",2021-01-14, 3638.3, 3684.0, 3709.7, 3731.9, 3780.9,inferred
"North East and Yorkshire",2021-01-15, 3571.1, 3618.1, 3643.5, 3670.9, 3721.8,inferred
"North East and Yorkshire",2021-01-16, 3505.7, 3554.7, 3582.4, 3612.6, 3671.4,inferred
"North East and Yorkshire",2021-01-17, 3438.7, 3490.3, 3523.9, 3555.7, 3618.8,inferred
"North East and Yorkshire",2021-01-18, 3366.4, 3421.2, 3453.0, 3485.2, 3550.7,inferred
"North East and Yorkshire",2021-01-19, 3292.1, 3341.5, 3368.8, 3397.0, 3451.6,inferred
"North East and Yorkshire",2021-01-20, 3211.0, 3255.6, 3280.2, 3304.7, 3350.8,inferred
"North East and Yorkshire",2021-01-21, 3124.6, 3169.2, 3193.3, 3215.3, 3261.6,inferred
"North East and Yorkshire",2021-01-22, 3035.6, 3085.9, 3109.5, 3132.4, 3184.4,inferred
"North East and Yorkshire",2021-01-23, 2952.1, 3005.0, 3030.2, 3055.5, 3109.0,inferred
"North East and Yorkshire",2021-01-24, 2875.2, 2930.1, 2956.7, 2985.0, 3039.0,inferred
"North East and Yorkshire",2021-01-25, 2809.1, 2862.3, 2887.9, 2915.4, 2967.9,inferred
