area,Date,C_025,C_25,C_50,C_75,C_975,provenance
"North East and Yorkshire",2021-04-01, 743.8, 782.7, 803.5, 826.0, 872.9,projected
"North East and Yorkshire",2021-04-02, 704.6, 746.9, 772.3, 795.8, 847.8,projected
"North East and Yorkshire",2021-04-03, 669.9, 714.5, 742.8, 768.1, 828.1,projected
"North East and Yorkshire",2021-04-04, 639.1, 687.2, 716.3, 746.0, 811.9,projected
"North East and Yorkshire",2021-04-05, 608.9, 660.9, 692.8, 726.2, 797.1,projected
"North East and Yorkshire",2021-04-06, 578.0, 635.8, 672.0, 708.5, 784.6,projected
"North East and Yorkshire",2021-04-07, 553.3, 613.7, 652.0, 691.4, 779.1,projected
"North East and Yorkshire",2021-04-08, 525.8, 592.4, 633.2, 675.4, 773.9,projected
"North East and Yorkshire",2021-04-09, 502.6, 572.4, 615.5, 662.7, 770.2,projected
"North East and Yorkshire",2021-04-10, 480.6, 554.2, 599.5, 649.8, 770.7,projected
"North East and Yorkshire",2021-04-11, 461.0, 537.7, 585.9, 638.2, 770.7,projected
"North East and Yorkshire",2021-04-12, 444.0, 522.5, 573.1, 630.6, 769.8,projected
"North East and Yorkshire",2021-04-13, 426.1, 508.9, 562.1, 625.8, 775.3,projected
"North East and Yorkshire",2021-04-14, 408.3, 495.8, 552.0, 619.7, 788.7,projected
"North East and Yorkshire",2021-04-15, 391.7, 484.6, 544.8, 614.6, 797.9,projected
"North East and Yorkshire",2021-04-16, 378.5, 473.0, 538.5, 614.5, 811.5,projected
"North East and Yorkshire",2021-04-17, 366.8, 462.8, 532.3, 612.0, 829.5,projected
"North East and Yorkshire",2021-04-18, 356.6, 454.5, 527.1, 612.1, 847.8,projected
"North East and Yorkshire",2021-04-19, 346.1, 449.3, 522.5, 617.8, 864.5,projected
"North East and Yorkshire",2021-04-20, 335.8, 444.0, 520.6, 619.4, 887.7,projected
"North East and Yorkshire",2021-04-21, 327.6, 439.9, 519.6, 623.2, 921.8,projected
"North West",2021-04-01, 389.7, 417.8, 431.9, 446.2, 473.1,projected
"North West",2021-04-02, 362.6, 392.8, 408.0, 424.9, 454.9,projected
"North West",2021-04-03, 336.6, 370.5, 386.3, 404.3, 438.3,projected
"North West",2021-04-04, 314.7, 349.4, 367.5, 386.3, 423.4,projected
"North West",2021-04-05, 294.1, 329.7, 350.6, 371.4, 414.5,projected
"North West",2021-04-06, 274.8, 312.6, 334.5, 357.6, 407.4,projected
"North West",2021-04-07, 254.6, 296.2, 318.8, 345.0, 399.2,projected
"North West",2021-04-08, 237.8, 280.8, 304.9, 333.0, 392.0,projected
"North West",2021-04-09, 220.8, 266.4, 291.1, 321.7, 387.1,projected
"North West",2021-04-10, 207.3, 252.9, 278.9, 311.0, 381.3,projected
"North West",2021-04-11, 193.9, 241.2, 267.4, 300.4, 377.0,projected
"North West",2021-04-12, 182.1, 229.8, 257.1, 292.2, 374.7,projected
"North West",2021-04-13, 169.5, 218.8, 247.7, 284.9, 370.9,projected
"North West",2021-04-14, 158.7, 208.5, 238.2, 277.0, 370.1,projected
"North West",2021-04-15, 149.4, 199.5, 230.3, 270.1, 370.9,projected
"North West",2021-04-16, 140.8, 191.2, 223.0, 263.6, 370.7,projected
"North West",2021-04-17, 132.8, 183.6, 215.9, 257.0, 372.2,projected
"North West",2021-04-18, 125.2, 176.8, 209.4, 252.9, 378.1,projected
"North West",2021-04-19, 118.9, 170.6, 203.8, 249.7, 384.9,projected
"North West",2021-04-20, 112.0, 163.6, 198.7, 245.5, 389.4,projected
"North West",2021-04-21, 106.3, 159.0, 193.7, 242.0, 399.5,projected
"Midlands",2021-04-01, 663.7, 696.8, 716.7, 736.4, 774.0,projected
"Midlands",2021-04-02, 629.6, 666.3, 688.3, 709.9, 753.5,projected
"Midlands",2021-04-03, 598.0, 638.1, 662.0, 685.2, 734.8,projected
"Midlands",2021-04-04, 569.2, 613.5, 637.7, 664.0, 715.3,projected
"Midlands",2021-04-05, 543.2, 591.4, 616.8, 644.7, 701.9,projected
"Midlands",2021-04-06, 518.3, 569.2, 596.7, 627.5, 691.6,projected
"Midlands",2021-04-07, 491.8, 548.6, 578.0, 612.1, 683.4,projected
"Midlands",2021-04-08, 467.3, 529.4, 560.5, 596.9, 675.8,projected
"Midlands",2021-04-09, 447.0, 510.3, 543.8, 583.0, 666.8,projected
