area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2020-12-21, 2418.7, 2418.7, 2498.5, 2559.4, 2574.9, 2705.7, 2705.7,inferred
"North East and Yorkshire",2020-12-22, 2405.9, 2405.9, 2438.3, 2454.7, 2529.0, 2597.9, 2597.9,inferred
"North East and Yorkshire",2020-12-23, 2409.2, 2409.7, 2417.4, 2447.0, 2474.5, 2612.3, 2612.6,inferred
"North East and Yorkshire",2020-12-24, 2438.6, 2441.0, 2530.4, 2586.5, 2687.9, 2828.8, 2832.7,inferred
"North East and Yorkshire",2020-12-25, 2694.2, 2700.5, 2781.0, 2853.0, 2964.3, 3075.7, 3084.1,inferred
"North East and Yorkshire",2020-12-26, 2998.1, 3011.7, 3084.5, 3158.9, 3253.4, 3339.7, 3350.6,inferred
"North East and Yorkshire",2020-12-27, 3331.3, 3348.5, 3427.4, 3483.2, 3550.4, 3618.3, 3633.5,inferred
"North East and Yorkshire",2020-12-28, 3697.7, 3721.1, 3786.3, 3827.4, 3867.9, 3925.0, 3936.0,inferred
"North East and Yorkshire",2020-12-29, 4088.4, 4105.7, 4152.2, 4188.9, 4219.1, 4265.0, 4280.7,inferred
"North East and Yorkshire",2020-12-30, 4438.5, 4458.8, 4516.3, 4555.9, 4596.4, 4653.4, 4671.3,inferred
"North East and Yorkshire",2020-12-31, 4615.8, 4647.6, 4711.3, 4761.9, 4808.7, 4877.5, 4898.8,inferred
"North East and Yorkshire",2021-01-01, 4627.7, 4660.5, 4722.9, 4776.2, 4826.2, 4900.3, 4926.4,inferred
"North East and Yorkshire",2021-01-02, 4599.6, 4620.6, 4681.9, 4726.5, 4769.4, 4837.1, 4858.8,inferred
"North East and Yorkshire",2021-01-03, 4574.8, 4586.2, 4637.7, 4675.2, 4712.5, 4774.6, 4791.5,inferred
"North East and Yorkshire",2021-01-04, 4544.1, 4558.9, 4604.3, 4637.9, 4672.5, 4724.9, 4742.2,inferred
"North East and Yorkshire",2021-01-05, 4519.8, 4532.8, 4579.9, 4612.5, 4644.9, 4694.9, 4708.9,inferred
"North East and Yorkshire",2021-01-06, 4493.9, 4507.8, 4556.4, 4590.8, 4623.2, 4677.6, 4693.9,inferred
"North East and Yorkshire",2021-01-07, 4418.7, 4433.0, 4482.5, 4515.4, 4550.9, 4604.9, 4624.4,inferred
"North East and Yorkshire",2021-01-08, 4294.9, 4308.9, 4352.4, 4380.6, 4412.4, 4457.6, 4472.9,inferred
"North East and Yorkshire",2021-01-09, 4157.0, 4165.6, 4203.8, 4228.8, 4253.5, 4292.4, 4303.7,inferred
"North East and Yorkshire",2021-01-10, 4006.6, 4020.3, 4055.4, 4080.1, 4104.2, 4142.3, 4150.8,inferred
"North East and Yorkshire",2021-01-11, 3862.6, 3876.9, 3915.9, 3940.4, 3966.0, 4005.2, 4016.3,inferred
"North East and Yorkshire",2021-01-12, 3729.7, 3739.8, 3785.6, 3812.1, 3840.0, 3882.2, 3896.1,inferred
"North East and Yorkshire",2021-01-13, 3601.1, 3616.6, 3665.1, 3693.8, 3724.5, 3768.7, 3784.9,inferred
"North East and Yorkshire",2021-01-14, 3513.6, 3528.7, 3577.3, 3605.5, 3635.6, 3683.5, 3697.4,inferred
"North East and Yorkshire",2021-01-15, 3466.0, 3480.4, 3522.5, 3547.6, 3575.4, 3619.2, 3632.4,inferred
"North East and Yorkshire",2021-01-16, 3427.8, 3440.4, 3477.8, 3499.9, 3525.0, 3564.5, 3576.0,inferred
"North East and Yorkshire",2021-01-17, 3383.3, 3396.3, 3431.0, 3452.8, 3477.9, 3512.2, 3525.2,inferred
"North East and Yorkshire",2021-01-18, 3342.5, 3352.8, 3389.4, 3412.5, 3437.6, 3471.5, 3485.5,inferred
"North East and Yorkshire",2021-01-19, 3293.9, 3306.4, 3343.6, 3369.6, 3398.1, 3434.2, 3446.7,inferred
"North East and Yorkshire",2021-01-20, 3241.9, 3251.7, 3294.8, 3323.2, 3353.7, 3394.1, 3407.3,inferred
"North East and Yorkshire",2021-01-21, 3172.4, 3184.0, 3226.4, 3255.4, 3284.8, 3326.6, 3343.5,inferred
"North East and Yorkshire",2021-01-22, 3088.3, 3102.7, 3137.8, 3164.7, 3191.4, 3229.7, 3242.5,inferred
"North East and Yorkshire",2021-01-23, 3002.8, 3014.1, 3045.1, 3067.7, 3090.5, 3124.0, 3136.2,inferred
"North East and Yorkshire",2021-01-24, 2916.2, 2924.9, 2953.8, 2975.9, 2996.6, 3028.4, 3039.0,inferred
"North East and Yorkshire",2021-01-25, 2831.6, 2842.1, 2871.5, 2892.5, 2914.1, 2945.9, 2955.5,inferred
"North East and Yorkshire",2021-01-26, 2747.4, 2760.8, 2792.0, 2816.6, 2839.5, 2875.1, 2885.6,inferred
"North East and Yorkshire",2021-01-27, 2667.6, 2679.8, 2718.2, 2743.7, 2769.9, 2810.6, 2819.4,inferred
"North East and Yorkshire",2021-01-28, 2599.1, 2614.0, 2651.9, 2675.8, 2704.3, 2743.0, 2758.1,inferred
"North East and Yorkshire",2021-01-29, 2546.6, 2558.9, 2592.0, 2614.3, 2639.5, 2676.4, 2692.3,inferred
"North East and Yorkshire",2021-01-30, 2494.8, 2507.4, 2533.3, 2554.2, 2576.1, 2609.1, 2620.7,inferred
"North East and Yorkshire",2021-01-31, 2440.7, 2449.4, 2475.0, 2494.2, 2515.4, 2546.1, 2554.1,inferred
"North East and Yorkshire",2021-02-01, 2381.7, 2391.2, 2417.3, 2436.2, 2457.7, 2486.8, 2495.4,inferred
"North East and Yorkshire",2021-02-02, 2325.7, 2333.9, 2360.7, 2382.0, 2403.4, 2435.0, 2444.2,inferred
"North East and Yorkshire",2021-02-03, 2268.6, 2279.1, 2308.1, 2330.8, 2352.7, 2389.3, 2402.9,inferred
"North East and Yorkshire",2021-02-04, 2220.3, 2229.3, 2258.8, 2281.6, 2304.0, 2343.2, 2354.0,inferred
"North East and Yorkshire",2021-02-05, 2176.7, 2184.6, 2212.5, 2232.5, 2253.1, 2286.0, 2298.0,inferred
"North East and Yorkshire",2021-02-06, 2132.2, 2140.1, 2164.5, 2182.9, 2201.4, 2228.7, 2237.8,inferred
"North East and Yorkshire",2021-02-07, 2084.3, 2089.7, 2116.3, 2133.6, 2151.2, 2173.3, 2183.2,inferred
"North East and Yorkshire",2021-02-08, 2033.9, 2042.1, 2069.7, 2087.4, 2104.8, 2128.9, 2136.8,inferred
"North East and Yorkshire",2021-02-09, 1985.3, 1997.2, 2023.6, 2043.3, 2062.5, 2089.5, 2099.7,inferred
"North East and Yorkshire",2021-02-10, 1942.8, 1953.6, 1981.8, 2002.6, 2024.7, 2055.0, 2063.8,inferred
"North East and Yorkshire",2021-02-11, 1912.2, 1923.3, 1950.0, 1972.1, 1993.8, 2025.7, 2033.0,inferred
"North East and Yorkshire",2021-02-12, 1896.3, 1905.1, 1929.4, 1949.6, 1969.7, 1998.2, 2005.2,inferred
"North East and Yorkshire",2021-02-13, 1882.0, 1890.8, 1912.6, 1929.2, 1947.6, 1971.3, 1980.0,inferred
"North East and Yorkshire",2021-02-14, 1865.1, 1872.8, 1894.3, 1910.2, 1926.8, 1950.1, 1955.4,inferred
"North East and Yorkshire",2021-02-15, 1843.8, 1851.2, 1873.4, 1890.6, 1908.0, 1931.5, 1938.5,inferred
"North East and Yorkshire",2021-02-16, 1819.2, 1827.0, 1852.3, 1871.9, 1891.2, 1915.0, 1926.5,inferred
"North East and Yorkshire",2021-02-17, 1792.9, 1801.3, 1829.0, 1850.6, 1872.4, 1900.0, 1912.0,inferred
"North East and Yorkshire",2021-02-18, 1751.4, 1760.4, 1788.6, 1809.8, 1831.6, 1861.6, 1872.0,inferred
"North East and Yorkshire",2021-02-19, 1693.9, 1702.1, 1726.9, 1746.4, 1766.3, 1792.9, 1801.6,inferred
"North East and Yorkshire",2021-02-20, 1628.5, 1635.7, 1658.8, 1675.4, 1692.7, 1716.8, 1726.7,inferred
"North East and Yorkshire",2021-02-21, 1564.5, 1570.4, 1592.2, 1607.7, 1622.3, 1645.8, 1653.8,inferred
"North East and Yorkshire",2021-02-22, 1500.2, 1507.9, 1528.3, 1543.8, 1559.5, 1581.1, 1588.5,inferred
"North East and Yorkshire",2021-02-23, 1440.1, 1447.5, 1469.7, 1485.7, 1502.3, 1524.1, 1531.8,inferred
"North East and Yorkshire",2021-02-24, 1383.4, 1390.1, 1414.6, 1431.7, 1449.6, 1474.8, 1481.4,inferred
"North East and Yorkshire",2021-02-25, 1336.9, 1342.5, 1367.3, 1383.6, 1401.6, 1426.0, 1433.4,inferred
"North East and Yorkshire",2021-02-26, 1297.6, 1303.8, 1325.5, 1341.6, 1357.2, 1380.3, 1387.1,inferred
"North East and Yorkshire",2021-02-27, 1261.9, 1266.1, 1286.6, 1301.0, 1315.7, 1336.7, 1341.8,inferred
"North East and Yorkshire",2021-02-28, 1223.3, 1229.8, 1248.5, 1263.0, 1276.7, 1296.9, 1301.3,inferred
"North East and Yorkshire",2021-03-01, 1185.2, 1192.3, 1212.2, 1226.7, 1240.7, 1261.0, 1266.9,inferred
"North East and Yorkshire",2021-03-02, 1148.4, 1156.9, 1178.2, 1192.2, 1207.4, 1229.2, 1235.1,inferred
"North East and Yorkshire",2021-03-03, 1116.0, 1123.8, 1145.8, 1160.9, 1177.5, 1200.4, 1207.8,inferred
"North East and Yorkshire",2021-03-04, 1100.8, 1107.8, 1131.2, 1145.8, 1162.9, 1185.4, 1192.4,inferred
"North East and Yorkshire",2021-03-05, 1104.3, 1110.7, 1132.4, 1146.4, 1161.7, 1184.0, 1190.3,inferred
"North East and Yorkshire",2021-03-06, 1112.9, 1119.3, 1138.9, 1152.3, 1165.9, 1187.8, 1194.1,inferred
"North East and Yorkshire",2021-03-07, 1119.5, 1125.0, 1145.1, 1157.9, 1171.7, 1193.2, 1199.1,inferred
"North East and Yorkshire",2021-03-08, 1124.0, 1129.7, 1151.0, 1164.2, 1178.1, 1200.1, 1205.2,inferred
"North East and Yorkshire",2021-03-09, 1127.0, 1132.9, 1155.7, 1170.1, 1184.9, 1207.8, 1214.6,inferred
"North East and Yorkshire",2021-03-10, 1127.6, 1136.0, 1160.1, 1175.5, 1192.1, 1216.8, 1225.5,inferred
"North East and Yorkshire",2021-03-11, 1132.2, 1140.4, 1163.3, 1179.5, 1196.6, 1221.5, 1231.6,inferred
"North East and Yorkshire",2021-03-12, 1140.1, 1146.0, 1166.9, 1181.8, 1197.2, 1220.7, 1227.1,inferred
"North East and Yorkshire",2021-03-13, 1145.7, 1151.3, 1169.7, 1183.1, 1196.7, 1218.0, 1224.4,inferred
"North East and Yorkshire",2021-03-14, 1146.9, 1152.4, 1171.2, 1184.3, 1197.4, 1217.2, 1223.0,inferred
"North East and Yorkshire",2021-03-15, 1148.2, 1154.1, 1173.0, 1186.4, 1200.3, 1219.9, 1226.0,inferred
"North East and Yorkshire",2021-03-16, 1150.7, 1155.8, 1174.6, 1190.4, 1204.9, 1227.1, 1234.0,inferred
"North East and Yorkshire",2021-03-17, 1148.9, 1156.0, 1176.3, 1193.7, 1211.0, 1235.5, 1243.9,inferred
"North East and Yorkshire",2021-03-18, 1143.9, 1151.8, 1172.9, 1190.2, 1207.2, 1232.7, 1238.4,inferred
"North East and Yorkshire",2021-03-19, 1134.0, 1141.3, 1160.9, 1176.7, 1191.9, 1216.0, 1222.0,inferred
"North East and Yorkshire",2021-03-20, 1121.9, 1127.1, 1146.3, 1159.6, 1174.7, 1195.0, 1200.6,inferred
"North East and Yorkshire",2021-03-21, 1105.7, 1110.7, 1130.2, 1143.1, 1156.6, 1175.7, 1182.3,inferred
"North East and Yorkshire",2021-03-22, 1086.7, 1093.4, 1113.6, 1126.8, 1140.8, 1160.2, 1166.9,inferred
"North East and Yorkshire",2021-03-23, 1068.2, 1076.9, 1097.3, 1111.6, 1127.0, 1147.7, 1154.4,inferred
"North East and Yorkshire",2021-03-24, 1049.6, 1058.4, 1080.8, 1096.5, 1113.3, 1135.8, 1144.7,inferred
"North East and Yorkshire",2021-03-25, 1022.1, 1028.7, 1052.2, 1068.1, 1084.4, 1107.1, 1114.2,inferred
"North East and Yorkshire",2021-03-26,  981.2,  987.6, 1009.3, 1023.1, 1038.2, 1059.2, 1065.9,inferred
"North East and Yorkshire",2021-03-27,  935.4,  941.8,  961.7,  973.9,  986.3, 1004.1, 1011.3,inferred
"North East and Yorkshire",2021-03-28,  890.6,  895.1,  913.7,  925.3,  937.4,  953.0,  958.9,inferred
"North East and Yorkshire",2021-03-29,  845.3,  850.5,  868.1,  880.2,  892.4,  908.3,  913.7,inferred
"North East and Yorkshire",2021-03-30,  803.6,  808.0,  826.8,  838.7,  852.0,  868.7,  874.3,inferred
"North East and Yorkshire",2021-03-31,  762.2,  768.2,  788.6,  801.3,  815.2,  833.9,  840.7,inferred
"North East and Yorkshire",2021-04-01,  728.4,  734.3,  753.8,  767.9,  781.7,  802.6,  810.2,inferred
"North East and Yorkshire",2021-04-02,  695.5,  702.9,  721.7,  737.2,  751.6,  775.0,  781.3,inferred
"North East and Yorkshire",2021-04-03,  660.4,  670.3,  692.0,  708.7,  726.8,  751.8,  760.3,inferred
"North East and Yorkshire",2021-04-04,  627.5,  635.2,  662.4,  682.0,  702.8,  731.5,  739.8,inferred
"North West",2020-12-21, 2068.4, 2068.4, 2136.0, 2165.7, 2181.9, 2290.7, 2290.7,inferred
"North West",2020-12-22, 2068.8, 2068.8, 2097.2, 2105.0, 2151.2, 2235.2, 2235.2,inferred
"North West",2020-12-23, 2074.1, 2074.3, 2090.2, 2106.5, 2138.5, 2255.1, 2255.4,inferred
"North West",2020-12-24, 2134.9, 2137.1, 2221.1, 2268.0, 2366.7, 2483.2, 2486.4,inferred
"North West",2020-12-25, 2414.6, 2420.4, 2500.9, 2563.1, 2676.1, 2770.6, 2779.1,inferred
"North West",2020-12-26, 2764.4, 2774.0, 2847.6, 2917.4, 3015.3, 3095.0, 3105.3,inferred
"North West",2020-12-27, 3160.7, 3178.1, 3252.8, 3309.2, 3383.7, 3445.5, 3462.1,inferred
"North West",2020-12-28, 3616.7, 3637.4, 3698.9, 3741.2, 3789.2, 3843.0, 3856.7,inferred
"North West",2020-12-29, 4127.0, 4138.6, 4186.7, 4217.8, 4252.1, 4298.4, 4312.4,inferred
