area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-04-05, 594.7, 603.5, 634.3, 658.2, 681.2, 714.5, 724.5,projected
"North East and Yorkshire",2021-04-06, 563.7, 574.1, 607.6, 635.3, 660.1, 700.0, 709.5,projected
"North East and Yorkshire",2021-04-07, 533.2, 545.6, 582.1, 614.0, 640.5, 686.8, 697.2,projected
"North East and Yorkshire",2021-04-08, 506.8, 519.4, 559.4, 593.9, 624.2, 675.7, 687.7,projected
"North East and Yorkshire",2021-04-09, 481.1, 495.9, 539.0, 575.1, 609.4, 665.4, 681.2,projected
"North East and Yorkshire",2021-04-10, 458.3, 473.2, 519.4, 559.0, 598.4, 660.7, 680.4,projected
"North East and Yorkshire",2021-04-11, 434.3, 450.2, 501.1, 544.4, 587.4, 659.8, 681.7,projected
"North East and Yorkshire",2021-04-12, 412.1, 431.8, 484.7, 530.5, 578.6, 657.9, 685.1,projected
"North East and Yorkshire",2021-04-13, 390.6, 411.0, 468.0, 516.0, 569.8, 661.4, 691.3,projected
"North East and Yorkshire",2021-04-14, 372.5, 392.8, 452.5, 503.2, 562.4, 663.5, 697.4,projected
"North East and Yorkshire",2021-04-15, 356.7, 377.3, 439.3, 493.3, 557.6, 667.7, 709.1,projected
"North East and Yorkshire",2021-04-16, 342.2, 359.9, 428.3, 484.2, 553.6, 675.3, 720.7,projected
"North East and Yorkshire",2021-04-17, 328.7, 348.0, 418.0, 477.3, 550.9, 688.9, 740.1,projected
"North East and Yorkshire",2021-04-18, 314.6, 332.5, 408.5, 470.9, 549.1, 705.0, 762.0,projected
"North East and Yorkshire",2021-04-19, 302.2, 319.7, 399.2, 464.8, 547.0, 715.9, 787.9,projected
"North East and Yorkshire",2021-04-20, 291.5, 309.5, 390.0, 459.9, 550.4, 735.0, 811.6,projected
"North East and Yorkshire",2021-04-21, 279.3, 297.9, 380.6, 455.5, 550.4, 748.9, 840.7,projected
"North East and Yorkshire",2021-04-22, 270.3, 288.2, 373.0, 453.0, 552.3, 777.7, 876.2,projected
"North East and Yorkshire",2021-04-23, 259.0, 281.0, 368.8, 450.3, 557.9, 807.5, 922.2,projected
"North East and Yorkshire",2021-04-24, 250.4, 274.3, 363.4, 449.3, 562.4, 837.1, 951.6,projected
"North East and Yorkshire",2021-04-25, 241.3, 268.6, 359.4, 450.0, 571.1, 867.9,1020.3,projected
"North West",2021-04-05, 304.6, 311.4, 329.1, 342.5, 355.0, 374.5, 381.7,projected
"North West",2021-04-06, 284.9, 291.9, 310.9, 325.9, 339.8, 362.2, 368.7,projected
"North West",2021-04-07, 266.0, 273.6, 293.8, 310.3, 325.3, 350.1, 356.8,projected
"North West",2021-04-08, 248.7, 256.5, 277.9, 296.0, 312.4, 338.7, 346.4,projected
"North West",2021-04-09, 233.3, 239.9, 264.3, 283.0, 301.0, 329.7, 339.4,projected
"North West",2021-04-10, 219.2, 225.7, 251.4, 270.6, 290.3, 321.8, 332.8,projected
"North West",2021-04-11, 205.3, 211.4, 238.3, 258.6, 281.0, 315.1, 326.8,projected
"North West",2021-04-12, 192.2, 199.2, 227.0, 248.1, 272.0, 309.7, 321.7,projected
"North West",2021-04-13, 178.7, 187.3, 216.3, 238.0, 262.9, 303.8, 317.1,projected
"North West",2021-04-14, 167.5, 176.0, 205.8, 228.7, 255.1, 297.7, 314.0,projected
"North West",2021-04-15, 157.5, 166.1, 196.8, 220.4, 248.3, 295.1, 310.1,projected
"North West",2021-04-16, 148.6, 157.5, 188.7, 212.9, 242.3, 293.0, 306.0,projected
"North West",2021-04-17, 141.0, 149.4, 181.0, 205.5, 236.2, 291.2, 305.4,projected
"North West",2021-04-18, 133.2, 140.7, 174.1, 199.0, 230.6, 289.4, 303.6,projected
"North West",2021-04-19, 125.1, 133.2, 166.7, 193.1, 225.5, 287.7, 306.6,projected
"North West",2021-04-20, 117.8, 126.7, 159.8, 187.9, 221.0, 286.0, 305.0,projected
"North West",2021-04-21, 112.1, 120.9, 153.6, 182.6, 216.4, 283.9, 305.4,projected
"North West",2021-04-22, 105.7, 114.8, 148.2, 177.7, 211.7, 285.6, 307.8,projected
"North West",2021-04-23, 100.2, 109.5, 143.2, 173.4, 208.9, 283.5, 310.5,projected
"North West",2021-04-24,  95.3, 104.2, 138.4, 169.3, 207.0, 284.1, 313.2,projected
"North West",2021-04-25,  91.5,  99.0, 133.9, 165.7, 205.9, 283.1, 314.9,projected
"Midlands",2021-04-05, 512.6, 521.1, 544.5, 560.2, 579.5, 603.8, 616.4,projected
"Midlands",2021-04-06, 484.9, 494.2, 519.8, 537.6, 558.2, 586.4, 597.3,projected
"Midlands",2021-04-07, 459.8, 469.1, 496.7, 515.9, 538.3, 568.9, 577.8,projected
"Midlands",2021-04-08, 435.4, 445.9, 476.1, 496.3, 520.0, 553.8, 563.2,projected
"Midlands",2021-04-09, 414.1, 425.8, 458.0, 478.4, 503.4, 540.6, 551.4,projected
"Midlands",2021-04-10, 393.1, 405.4, 440.2, 462.7, 487.6, 527.9, 538.6,projected
"Midlands",2021-04-11, 373.4, 386.6, 423.6, 447.0, 473.0, 517.0, 530.7,projected
"Midlands",2021-04-12, 355.7, 369.1, 406.9, 433.1, 460.7, 508.2, 522.8,projected
"Midlands",2021-04-13, 339.5, 351.9, 392.1, 418.6, 448.5, 498.3, 516.0,projected
"Midlands",2021-04-14, 324.5, 337.1, 379.1, 406.1, 437.6, 489.8, 507.1,projected
"Midlands",2021-04-15, 310.9, 324.2, 367.2, 394.6, 428.6, 483.1, 503.8,projected
"Midlands",2021-04-16, 298.0, 311.3, 355.9, 385.2, 420.2, 479.5, 498.4,projected
"Midlands",2021-04-17, 286.9, 301.0, 345.2, 376.3, 412.0, 474.0, 496.6,projected
