area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2020-12-21, 2497.8, 2497.8, 2497.8, 2497.8, 2497.8, 2497.8, 2497.8,inferred
"North East and Yorkshire",2020-12-22, 2408.9, 2408.9, 2408.9, 2408.9, 2408.9, 2408.9, 2408.9,inferred
"North East and Yorkshire",2020-12-23, 2470.2, 2470.5, 2470.9, 2471.2, 2471.6, 2472.1, 2472.2,inferred
"North East and Yorkshire",2020-12-24, 2659.8, 2662.6, 2667.2, 2670.1, 2673.7, 2679.1, 2680.0,inferred
"North East and Yorkshire",2020-12-25, 2916.1, 2918.0, 2929.8, 2937.9, 2945.3, 2956.2, 2957.0,inferred
"North East and Yorkshire",2020-12-26, 3199.3, 3202.7, 3217.8, 3232.9, 3244.2, 3262.4, 3267.7,inferred
"North East and Yorkshire",2020-12-27, 3493.5, 3498.4, 3521.2, 3543.5, 3558.6, 3581.6, 3585.0,inferred
"North East and Yorkshire",2020-12-28, 3796.3, 3802.3, 3836.9, 3865.6, 3886.8, 3912.7, 3920.8,inferred
"North East and Yorkshire",2020-12-29, 4117.6, 4128.4, 4173.6, 4208.6, 4237.6, 4269.8, 4278.1,inferred
"North East and Yorkshire",2020-12-30, 4445.2, 4463.3, 4513.8, 4560.8, 4595.4, 4631.7, 4637.5,inferred
"North East and Yorkshire",2020-12-31, 4615.8, 4633.4, 4688.0, 4738.5, 4773.6, 4805.5, 4815.6,inferred
"North East and Yorkshire",2021-01-01, 4634.1, 4642.4, 4694.6, 4736.3, 4769.4, 4798.9, 4803.8,inferred
"North East and Yorkshire",2021-01-02, 4602.3, 4611.9, 4655.8, 4686.5, 4715.8, 4745.6, 4758.4,inferred
"North East and Yorkshire",2021-01-03, 4566.6, 4578.7, 4616.3, 4646.7, 4670.2, 4710.6, 4721.8,inferred
"North East and Yorkshire",2021-01-04, 4536.9, 4547.2, 4588.9, 4619.8, 4645.3, 4693.5, 4707.7,inferred
"North East and Yorkshire",2021-01-05, 4510.6, 4520.7, 4572.0, 4605.8, 4636.6, 4681.3, 4697.9,inferred
"North East and Yorkshire",2021-01-06, 4492.4, 4498.5, 4560.4, 4596.3, 4631.9, 4678.5, 4693.5,inferred
"North East and Yorkshire",2021-01-07, 4414.2, 4427.6, 4483.5, 4522.8, 4556.6, 4602.1, 4612.8,inferred
"North East and Yorkshire",2021-01-08, 4289.0, 4302.1, 4347.9, 4387.5, 4413.2, 4459.4, 4466.5,inferred
"North East and Yorkshire",2021-01-09, 4143.5, 4155.5, 4196.8, 4228.7, 4254.9, 4296.0, 4306.2,inferred
"North East and Yorkshire",2021-01-10, 4003.4, 4011.3, 4052.4, 4079.5, 4107.4, 4141.0, 4158.7,inferred
"North East and Yorkshire",2021-01-11, 3869.3, 3877.0, 3916.4, 3940.1, 3970.1, 4004.6, 4016.8,inferred
"North East and Yorkshire",2021-01-12, 3738.6, 3747.7, 3785.9, 3819.1, 3843.5, 3879.7, 3888.1,inferred
"North East and Yorkshire",2021-01-13, 3610.0, 3627.2, 3668.6, 3702.8, 3733.3, 3768.3, 3775.9,inferred
"North East and Yorkshire",2021-01-14, 3528.8, 3543.7, 3582.5, 3618.5, 3648.9, 3682.2, 3689.2,inferred
"North East and Yorkshire",2021-01-15, 3483.1, 3493.8, 3531.6, 3563.5, 3586.8, 3617.2, 3630.2,inferred
"North East and Yorkshire",2021-01-16, 3438.6, 3451.3, 3485.4, 3511.9, 3538.4, 3565.5, 3574.0,inferred
"North East and Yorkshire",2021-01-17, 3396.3, 3404.6, 3437.7, 3462.3, 3485.4, 3516.0, 3521.3,inferred
"North East and Yorkshire",2021-01-18, 3356.2, 3361.9, 3397.1, 3419.9, 3439.5, 3476.3, 3480.6,inferred
"North East and Yorkshire",2021-01-19, 3304.5, 3314.5, 3355.5, 3376.2, 3398.2, 3438.1, 3444.8,inferred
"North East and Yorkshire",2021-01-20, 3248.7, 3259.5, 3303.5, 3327.4, 3352.1, 3395.6, 3410.7,inferred
"North East and Yorkshire",2021-01-21, 3176.1, 3189.9, 3235.2, 3255.8, 3282.3, 3324.3, 3343.2,inferred
"North East and Yorkshire",2021-01-22, 3095.4, 3106.3, 3143.0, 3163.1, 3187.0, 3227.3, 3232.7,inferred
"North East and Yorkshire",2021-01-23, 3005.8, 3010.6, 3044.4, 3065.0, 3087.4, 3119.0, 3134.0,inferred
"North East and Yorkshire",2021-01-24, 2918.1, 2923.7, 2950.8, 2971.6, 2994.7, 3021.6, 3038.2,inferred
"North East and Yorkshire",2021-01-25, 2834.6, 2840.8, 2871.9, 2889.6, 2914.9, 2942.6, 2951.8,inferred
"North East and Yorkshire",2021-01-26, 2744.3, 2762.7, 2794.0, 2816.3, 2839.9, 2873.5, 2880.9,inferred
"North East and Yorkshire",2021-01-27, 2660.9, 2682.8, 2721.0, 2745.9, 2772.3, 2808.0, 2816.5,inferred
"North East and Yorkshire",2021-01-28, 2597.6, 2615.0, 2653.8, 2680.7, 2706.5, 2741.9, 2749.2,inferred
"North East and Yorkshire",2021-01-29, 2547.1, 2559.4, 2595.5, 2618.3, 2638.9, 2668.4, 2676.6,inferred
"North East and Yorkshire",2021-01-30, 2490.5, 2507.4, 2535.3, 2557.3, 2575.6, 2597.0, 2604.7,inferred
"North East and Yorkshire",2021-01-31, 2443.2, 2448.6, 2472.8, 2498.1, 2512.7, 2534.1, 2538.2,inferred
"North East and Yorkshire",2021-02-01, 2377.6, 2388.4, 2413.6, 2437.5, 2453.4, 2475.9, 2483.5,inferred
"North East and Yorkshire",2021-02-02, 2322.8, 2331.5, 2357.8, 2382.1, 2397.1, 2423.5, 2432.0,inferred
"North East and Yorkshire",2021-02-03, 2256.3, 2277.3, 2304.8, 2328.7, 2349.2, 2379.2, 2385.6,inferred
"North East and Yorkshire",2021-02-04, 2207.8, 2228.8, 2256.5, 2279.7, 2298.6, 2327.8, 2334.6,inferred
"North East and Yorkshire",2021-02-05, 2165.3, 2183.5, 2208.3, 2229.1, 2247.2, 2272.5, 2279.9,inferred
"North East and Yorkshire",2021-02-06, 2127.5, 2135.9, 2165.1, 2180.2, 2197.1, 2219.2, 2225.4,inferred
"North East and Yorkshire",2021-02-07, 2080.1, 2088.8, 2114.7, 2131.0, 2148.3, 2168.2, 2172.7,inferred
"North East and Yorkshire",2021-02-08, 2029.6, 2039.4, 2068.3, 2087.7, 2103.4, 2125.7, 2132.9,inferred
"North East and Yorkshire",2021-02-09, 1985.4, 1993.9, 2022.8, 2045.0, 2060.9, 2089.0, 2096.3,inferred
"North East and Yorkshire",2021-02-10, 1946.3, 1954.3, 1983.4, 2005.3, 2023.6, 2056.7, 2059.5,inferred
"North East and Yorkshire",2021-02-11, 1918.6, 1927.1, 1952.6, 1977.5, 1990.4, 2025.7, 2031.6,inferred
"North East and Yorkshire",2021-02-12, 1902.7, 1910.2, 1930.6, 1952.5, 1967.2, 1996.4, 2003.2,inferred
"North East and Yorkshire",2021-02-13, 1884.5, 1892.4, 1912.2, 1929.5, 1944.2, 1967.0, 1975.1,inferred
"North East and Yorkshire",2021-02-14, 1869.1, 1873.5, 1894.4, 1907.5, 1923.4, 1944.0, 1950.9,inferred
"North East and Yorkshire",2021-02-15, 1845.1, 1852.5, 1872.6, 1888.2, 1903.0, 1926.3, 1942.1,inferred
"North East and Yorkshire",2021-02-16, 1818.6, 1828.7, 1850.4, 1865.8, 1882.4, 1914.9, 1923.1,inferred
"North East and Yorkshire",2021-02-17, 1792.8, 1799.1, 1828.1, 1844.2, 1860.2, 1897.0, 1903.8,inferred
"North East and Yorkshire",2021-02-18, 1751.1, 1756.5, 1783.8, 1801.4, 1816.4, 1850.8, 1857.3,inferred
"North East and Yorkshire",2021-02-19, 1694.7, 1700.6, 1722.3, 1739.3, 1751.9, 1777.8, 1785.8,inferred
"North East and Yorkshire",2021-02-20, 1625.6, 1635.9, 1655.0, 1670.6, 1683.2, 1703.2, 1710.3,inferred
"North East and Yorkshire",2021-02-21, 1560.2, 1565.5, 1590.1, 1604.4, 1618.7, 1636.0, 1648.8,inferred
"North East and Yorkshire",2021-02-22, 1494.2, 1500.5, 1530.4, 1545.5, 1557.4, 1579.9, 1590.3,inferred
"North East and Yorkshire",2021-02-23, 1433.2, 1440.8, 1471.5, 1488.7, 1501.7, 1529.2, 1535.1,inferred
"North East and Yorkshire",2021-02-24, 1377.6, 1385.9, 1419.2, 1435.7, 1451.7, 1478.1, 1487.8,inferred
"North East and Yorkshire",2021-02-25, 1335.1, 1338.6, 1374.5, 1387.9, 1402.7, 1431.4, 1435.2,inferred
"North East and Yorkshire",2021-02-26, 1299.6, 1305.3, 1331.6, 1344.2, 1361.7, 1382.9, 1388.3,inferred
"North East and Yorkshire",2021-02-27, 1265.5, 1269.7, 1288.9, 1305.7, 1317.9, 1337.9, 1343.7,inferred
"North East and Yorkshire",2021-02-28, 1228.6, 1231.9, 1251.5, 1266.3, 1278.5, 1300.7, 1303.9,inferred
"North East and Yorkshire",2021-03-01, 1190.0, 1196.0, 1214.1, 1228.2, 1243.6, 1264.8, 1267.8,inferred
"North East and Yorkshire",2021-03-02, 1156.6, 1158.5, 1178.9, 1193.8, 1209.6, 1232.7, 1237.2,inferred
"North East and Yorkshire",2021-03-03, 1123.8, 1126.8, 1145.8, 1163.5, 1179.9, 1203.8, 1211.6,inferred
"North East and Yorkshire",2021-03-04, 1109.8, 1114.7, 1130.8, 1149.8, 1163.9, 1186.2, 1197.3,inferred
"North East and Yorkshire",2021-03-05, 1114.3, 1119.0, 1133.1, 1151.1, 1163.8, 1187.8, 1197.0,inferred
"North East and Yorkshire",2021-03-06, 1120.3, 1126.8, 1142.4, 1156.5, 1167.4, 1194.4, 1200.4,inferred
"North East and Yorkshire",2021-03-07, 1126.0, 1129.2, 1148.4, 1160.6, 1173.0, 1196.0, 1203.1,inferred
"North East and Yorkshire",2021-03-08, 1129.0, 1135.2, 1151.6, 1165.1, 1178.4, 1201.0, 1208.2,inferred
"North East and Yorkshire",2021-03-09, 1134.3, 1140.3, 1155.8, 1170.6, 1183.7, 1206.3, 1218.4,inferred
"North East and Yorkshire",2021-03-10, 1132.0, 1141.0, 1158.8, 1173.4, 1190.9, 1213.4, 1224.7,inferred
"North East and Yorkshire",2021-03-11, 1132.8, 1145.6, 1162.4, 1177.8, 1194.4, 1218.6, 1226.6,inferred
"North East and Yorkshire",2021-03-12, 1141.1, 1152.0, 1167.7, 1181.3, 1196.1, 1220.0, 1225.1,inferred
"North East and Yorkshire",2021-03-13, 1147.2, 1154.1, 1167.7, 1182.7, 1198.4, 1217.6, 1222.2,inferred
"North East and Yorkshire",2021-03-14, 1149.5, 1157.1, 1170.8, 1184.0, 1199.5, 1217.9, 1221.6,inferred
"North East and Yorkshire",2021-03-15, 1149.3, 1158.3, 1175.9, 1186.0, 1201.0, 1221.6, 1224.6,inferred
"North East and Yorkshire",2021-03-16, 1149.8, 1156.9, 1179.5, 1191.2, 1203.8, 1227.3, 1233.4,inferred
"North East and Yorkshire",2021-03-17, 1151.9, 1158.3, 1183.0, 1193.8, 1210.3, 1234.2, 1241.5,inferred
"North East and Yorkshire",2021-03-18, 1146.5, 1154.1, 1178.2, 1190.1, 1206.5, 1225.4, 1235.1,inferred
"North East and Yorkshire",2021-03-19, 1135.8, 1145.1, 1165.9, 1176.7, 1190.8, 1210.8, 1214.0,inferred
"North East and Yorkshire",2021-03-20, 1123.1, 1126.9, 1150.3, 1159.9, 1170.7, 1191.2, 1193.9,inferred
"North East and Yorkshire",2021-03-21, 1108.6, 1111.9, 1133.8, 1144.2, 1152.2, 1172.8, 1177.7,inferred
"North East and Yorkshire",2021-03-22, 1092.6, 1098.7, 1116.3, 1127.9, 1137.2, 1157.2, 1161.1,inferred
"North East and Yorkshire",2021-03-23, 1075.5, 1081.7, 1099.6, 1114.7, 1127.0, 1145.5, 1148.1,inferred
"North East and Yorkshire",2021-03-24, 1055.0, 1062.9, 1083.3, 1099.3, 1113.6, 1134.3, 1138.2,inferred
"North East and Yorkshire",2021-03-25, 1024.8, 1032.6, 1053.1, 1069.3, 1082.9, 1101.2, 1108.1,inferred
"North East and Yorkshire",2021-03-26,  983.2,  989.6, 1007.5, 1022.3, 1036.0, 1052.5, 1055.0,inferred
"North East and Yorkshire",2021-03-27,  938.8,  943.6,  958.4,  974.0,  985.3,  999.2, 1005.4,inferred
"North East and Yorkshire",2021-03-28,  893.7,  899.6,  913.2,  925.3,  938.9,  953.6,  958.4,inferred
"North East and Yorkshire",2021-03-29,  849.6,  854.5,  868.4,  880.3,  895.0,  913.3,  917.1,inferred
"North East and Yorkshire",2021-03-30,  807.8,  811.7,  827.3,  839.6,  855.8,  870.5,  879.2,inferred
"North East and Yorkshire",2021-03-31,  770.3,  773.0,  788.7,  804.8,  818.5,  834.4,  841.7,inferred
"North East and Yorkshire",2021-04-01,  734.8,  738.2,  757.0,  772.4,  785.3,  803.2,  809.9,inferred
"North East and Yorkshire",2021-04-02,  700.3,  703.7,  728.4,  742.5,  755.9,  779.0,  782.1,inferred
"North East and Yorkshire",2021-04-03,  665.0,  672.0,  697.4,  713.9,  731.1,  756.8,  759.4,inferred
"North East and Yorkshire",2021-04-04,  632.2,  637.4,  667.8,  687.3,  706.3,  736.1,  742.1,inferred
"North West",2020-12-21, 2132.6, 2132.6, 2132.6, 2132.6, 2132.6, 2132.6, 2132.6,inferred
"North West",2020-12-22, 2069.2, 2069.2, 2069.2, 2069.2, 2069.2, 2069.2, 2069.2,inferred
"North West",2020-12-23, 2132.5, 2132.7, 2133.1, 2133.6, 2133.9, 2134.4, 2134.5,inferred
"North West",2020-12-24, 2334.8, 2336.7, 2341.6, 2345.9, 2349.3, 2354.0, 2355.5,inferred
"North West",2020-12-25, 2624.5, 2628.1, 2640.1, 2647.2, 2656.0, 2667.5, 2672.1,inferred
"North West",2020-12-26, 2957.6, 2962.6, 2980.5, 2992.4, 3005.1, 3026.1, 3032.1,inferred
"North West",2020-12-27, 3319.5, 3328.6, 3350.1, 3368.2, 3384.1, 3409.2, 3419.0,inferred
"North West",2020-12-28, 3716.3, 3720.7, 3752.7, 3776.9, 3797.1, 3830.7, 3838.3,inferred
"North West",2020-12-29, 4153.5, 4159.6, 4202.3, 4232.1, 4259.6, 4299.9, 4315.5,inferred
"North West",2020-12-30, 4617.3, 4633.5, 4679.2, 4721.1, 4759.7, 4810.2, 4821.9,inferred
"North West",2020-12-31, 4952.8, 4969.2, 5010.8, 5057.1, 5102.7, 5150.4, 5158.2,inferred
"North West",2021-01-01, 5137.4, 5161.8, 5201.9, 5242.8, 5283.7, 5326.7, 5340.1,inferred
"North West",2021-01-02, 5303.9, 5319.9, 5368.0, 5402.8, 5434.5, 5474.2, 5489.3,inferred
"North West",2021-01-03, 5488.5, 5499.0, 5541.7, 5577.5, 5606.4, 5640.2, 5664.8,inferred
"North West",2021-01-04, 5673.8, 5681.5, 5735.1, 5772.5, 5805.9, 5842.2, 5865.3,inferred
"North West",2021-01-05, 5873.3, 5891.2, 5947.1, 5989.5, 6023.2, 6074.1, 6099.0,inferred
"North West",2021-01-06, 6072.6, 6086.4, 6157.8, 6196.9, 6242.9, 6292.4, 6334.1,inferred
"North West",2021-01-07, 6090.3, 6106.3, 6177.2, 6212.9, 6260.9, 6308.5, 6345.6,inferred
"North West",2021-01-08, 5945.1, 5954.4, 6009.0, 6038.7, 6083.5, 6127.3, 6160.2,inferred
"North West",2021-01-09, 5733.5, 5741.5, 5784.3, 5809.9, 5843.1, 5887.3, 5906.6,inferred
