area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-04-05, 602.3, 605.3, 639.6, 662.7, 684.2, 718.6, 728.5,projected
"North East and Yorkshire",2021-04-06, 571.9, 576.5, 615.0, 641.8, 662.8, 704.3, 713.2,projected
"North East and Yorkshire",2021-04-07, 543.8, 547.7, 591.3, 617.7, 643.4, 685.1, 697.4,projected
"North East and Yorkshire",2021-04-08, 518.5, 522.5, 570.9, 596.8, 626.8, 671.3, 688.1,projected
"North East and Yorkshire",2021-04-09, 492.4, 498.1, 545.5, 580.6, 615.1, 675.2, 684.4,projected
"North East and Yorkshire",2021-04-10, 464.6, 473.5, 525.3, 562.5, 605.1, 662.8, 678.2,projected
"North East and Yorkshire",2021-04-11, 440.4, 452.5, 506.0, 547.1, 595.5, 654.8, 674.9,projected
"North East and Yorkshire",2021-04-12, 417.8, 431.9, 486.0, 530.7, 585.2, 654.6, 670.4,projected
"North East and Yorkshire",2021-04-13, 394.4, 409.9, 471.7, 517.8, 574.6, 651.6, 671.5,projected
"North East and Yorkshire",2021-04-14, 374.9, 391.0, 460.0, 507.0, 566.6, 650.2, 676.8,projected
"North East and Yorkshire",2021-04-15, 357.1, 375.7, 445.6, 497.9, 561.5, 648.0, 684.3,projected
"North East and Yorkshire",2021-04-16, 343.4, 361.5, 431.8, 489.4, 558.0, 655.0, 696.1,projected
"North East and Yorkshire",2021-04-17, 331.4, 350.0, 424.8, 482.6, 552.2, 664.9, 707.8,projected
"North East and Yorkshire",2021-04-18, 314.7, 340.1, 414.0, 474.3, 548.1, 679.4, 730.8,projected
"North East and Yorkshire",2021-04-19, 304.0, 328.1, 402.7, 468.9, 541.5, 686.7, 742.2,projected
"North East and Yorkshire",2021-04-20, 296.0, 316.7, 395.6, 462.5, 534.9, 695.8, 750.4,projected
"North East and Yorkshire",2021-04-21, 288.1, 307.6, 390.2, 457.1, 542.6, 706.3, 763.5,projected
"North East and Yorkshire",2021-04-22, 281.8, 299.4, 383.9, 455.2, 546.6, 709.8, 782.4,projected
"North East and Yorkshire",2021-04-23, 275.6, 291.0, 379.2, 451.8, 542.7, 707.0, 800.5,projected
"North East and Yorkshire",2021-04-24, 264.2, 282.8, 374.2, 446.1, 541.6, 703.1, 825.7,projected
"North East and Yorkshire",2021-04-25, 255.5, 277.2, 368.2, 441.6, 550.2, 724.2, 853.2,projected
"North West",2021-04-05, 309.4, 315.2, 331.7, 344.7, 355.7, 377.7, 386.4,projected
"North West",2021-04-06, 287.5, 295.1, 314.4, 327.9, 342.0, 365.5, 372.8,projected
"North West",2021-04-07, 268.1, 276.3, 297.6, 311.9, 327.2, 354.1, 359.9,projected
"North West",2021-04-08, 249.9, 261.0, 282.3, 298.0, 313.9, 342.7, 349.4,projected
"North West",2021-04-09, 234.4, 246.0, 267.3, 285.8, 301.3, 331.0, 347.4,projected
"North West",2021-04-10, 220.1, 232.3, 254.0, 272.5, 289.9, 321.6, 337.3,projected
"North West",2021-04-11, 208.1, 218.9, 242.0, 261.0, 278.3, 312.1, 326.1,projected
"North West",2021-04-12, 194.2, 207.6, 230.1, 249.7, 269.9, 303.1, 322.7,projected
"North West",2021-04-13, 183.2, 197.8, 219.3, 240.3, 262.6, 295.4, 316.4,projected
"North West",2021-04-14, 173.4, 187.5, 209.7, 229.9, 254.4, 290.1, 310.0,projected
"North West",2021-04-15, 165.0, 174.9, 200.4, 220.8, 247.3, 288.8, 308.2,projected
"North West",2021-04-16, 157.7, 165.0, 191.6, 212.5, 239.0, 284.3, 309.5,projected
