area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-04-11,531.1,538.2,562.9,581.1,600.4,626.8,637.3,projected
"North East and Yorkshire",2021-04-12,513.3,522.2,549.1,568.5,590.9,622.3,631.8,projected
"North East and Yorkshire",2021-04-13,496.0,505.7,535.4,556.9,581.2,617.1,628.4,projected
"North East and Yorkshire",2021-04-14,478.7,489.5,522.6,547.0,572.6,612.1,627.0,projected
"North East and Yorkshire",2021-04-15,463.0,474.7,510.4,537.9,565.9,608.5,625.2,projected
"North East and Yorkshire",2021-04-16,448.6,461.2,498.5,528.9,559.5,607.3,627.7,projected
"North East and Yorkshire",2021-04-17,433.7,447.1,487.1,520.5,554.0,608.6,630.7,projected
"North East and Yorkshire",2021-04-18,419.0,431.5,475.3,512.5,549.8,609.0,635.2,projected
"North East and Yorkshire",2021-04-19,404.7,418.6,464.3,504.5,544.6,608.6,641.6,projected
"North East and Yorkshire",2021-04-20,391.6,406.0,454.2,497.1,539.8,613.5,645.6,projected
"North East and Yorkshire",2021-04-21,379.2,396.0,445.4,490.1,536.2,619.0,651.8,projected
"North East and Yorkshire",2021-04-22,369.4,385.0,438.1,483.9,535.8,624.9,658.3,projected
"North East and Yorkshire",2021-04-23,358.7,374.4,430.5,479.3,533.6,627.6,669.8,projected
"North East and Yorkshire",2021-04-24,349.3,362.8,423.2,473.2,531.3,637.8,682.4,projected
"North East and Yorkshire",2021-04-25,337.7,352.0,414.4,468.9,531.4,646.6,692.3,projected
"North East and Yorkshire",2021-04-26,329.3,343.1,407.6,464.8,531.1,659.5,703.6,projected
"North East and Yorkshire",2021-04-27,319.9,332.5,400.8,461.8,531.1,667.8,714.9,projected
"North East and Yorkshire",2021-04-28,310.8,326.9,395.2,458.4,531.8,675.1,738.4,projected
"North East and Yorkshire",2021-04-29,301.3,317.9,390.1,455.6,532.1,687.3,759.1,projected
"North East and Yorkshire",2021-04-30,292.7,310.4,385.2,453.1,533.6,700.9,777.2,projected
"North East and Yorkshire",2021-05-01,284.1,302.8,379.9,452.8,536.3,718.7,800.1,projected
"North West",2021-04-11,272.9,276.4,290.9,301.4,313.1,330.8,335.4,projected
"North West",2021-04-12,260.4,265.4,281.4,292.9,306.0,326.2,332.1,projected
"North West",2021-04-13,249.3,255.0,272.1,284.5,299.5,321.9,329.0,projected
"North West",2021-04-14,238.1,245.3,263.4,277.3,293.1,319.2,325.5,projected
"North West",2021-04-15,228.0,235.6,255.3,271.2,288.1,316.8,323.8,projected
"North West",2021-04-16,219.1,225.8,247.9,265.3,283.7,314.2,323.5,projected
"North West",2021-04-17,209.7,216.6,240.2,259.1,279.7,312.6,325.7,projected
"North West",2021-04-18,200.6,208.2,232.9,253.1,275.5,311.6,326.7,projected
"North West",2021-04-19,192.6,200.1,225.7,247.0,271.2,311.2,327.8,projected
"North West",2021-04-20,183.9,192.2,219.4,241.2,267.6,311.1,329.3,projected
"North West",2021-04-21,176.5,185.7,213.4,236.1,263.8,312.9,330.4,projected
"North West",2021-04-22,169.4,179.1,208.1,232.1,260.3,314.6,333.4,projected
"North West",2021-04-23,163.0,173.9,202.1,228.0,257.8,315.6,335.9,projected
"North West",2021-04-24,156.4,168.0,197.3,223.9,255.8,318.9,339.4,projected
"North West",2021-04-25,150.4,161.8,192.1,220.3,253.2,321.5,342.0,projected
"North West",2021-04-26,145.0,155.9,187.5,216.6,251.5,322.7,342.8,projected
"North West",2021-04-27,139.5,150.9,183.0,213.2,249.8,324.2,348.9,projected
"North West",2021-04-28,135.1,146.0,179.1,210.4,248.8,328.8,353.2,projected
"North West",2021-04-29,130.3,140.7,175.2,207.9,247.1,330.4,357.9,projected
"North West",2021-04-30,127.6,136.4,171.8,205.2,246.2,331.8,362.8,projected
"North West",2021-05-01,123.9,133.5,168.3,202.9,245.6,334.8,376.1,projected
"Midlands",2021-04-11,417.6,423.9,440.3,453.5,467.7,489.0,494.9,projected
"Midlands",2021-04-12,401.7,408.3,425.6,439.6,455.8,478.9,485.2,projected
"Midlands",2021-04-13,386.6,393.0,412.0,426.6,444.3,469.8,476.5,projected
"Midlands",2021-04-14,372.8,378.9,399.5,415.4,434.4,461.0,468.9,projected
"Midlands",2021-04-15,359.6,365.5,388.2,404.6,424.4,454.5,460.6,projected
"Midlands",2021-04-16,346.3,353.6,376.8,394.6,415.2,447.0,453.9,projected
"Midlands",2021-04-17,334.6,340.9,366.1,384.9,406.7,440.9,450.1,projected
"Midlands",2021-04-18,322.9,329.5,355.5,376.2,398.9,434.9,445.2,projected
"Midlands",2021-04-19,312.3,318.5,346.1,367.8,390.7,429.4,441.9,projected
"Midlands",2021-04-20,301.1,308.6,337.0,359.1,383.4,424.7,438.1,projected
"Midlands",2021-04-21,291.7,299.4,328.9,351.4,377.3,422.1,434.6,projected
"Midlands",2021-04-22,281.6,292.1,321.1,344.4,372.0,418.2,431.7,projected
"Midlands",2021-04-23,273.6,283.3,313.3,338.6,367.5,416.5,428.8,projected
"Midlands",2021-04-24,265.4,275.1,306.6,332.6,362.3,414.0,430.0,projected
"Midlands",2021-04-25,257.1,267.4,300.1,326.7,358.3,411.4,427.9,projected
"Midlands",2021-04-26,249.5,259.9,293.7,321.1,354.5,410.6,426.4,projected
"Midlands",2021-04-27,242.5,252.8,287.3,316.0,351.0,410.2,426.9,projected
"Midlands",2021-04-28,236.6,246.3,281.8,311.7,347.7,410.2,424.7,projected
"Midlands",2021-04-29,231.7,239.1,276.1,307.6,344.9,409.4,427.3,projected
"Midlands",2021-04-30,226.3,234.3,272.7,304.9,343.3,410.5,432.2,projected
"Midlands",2021-05-01,220.1,228.4,269.2,302.0,341.9,411.0,434.5,projected
"South West",2021-04-11, 97.3, 99.5,106.8,112.2,118.1,125.9,129.1,projected
"South West",2021-04-12, 94.0, 96.6,104.0,109.8,116.3,124.7,129.0,projected
"South West",2021-04-13, 90.7, 93.7,101.6,107.7,114.5,124.3,128.4,projected
"South West",2021-04-14, 88.2, 90.7, 99.2,105.8,113.3,123.7,128.3,projected
"South West",2021-04-15, 85.4, 88.5, 97.1,104.3,112.1,123.6,129.1,projected
"South West",2021-04-16, 82.6, 86.0, 95.2,102.9,111.2,123.8,129.6,projected
"South West",2021-04-17, 79.8, 84.0, 93.8,101.5,110.5,124.2,130.4,projected
"South West",2021-04-18, 78.1, 81.7, 92.1,100.3,109.7,125.1,131.5,projected
"South West",2021-04-19, 75.9, 79.3, 90.4, 99.0,109.4,125.8,132.6,projected
"South West",2021-04-20, 73.7, 77.2, 89.2, 97.8,109.1,127.3,135.5,projected
"South West",2021-04-21, 72.3, 75.8, 88.2, 97.1,109.1,129.9,138.5,projected
"South West",2021-04-22, 70.9, 73.8, 86.8, 96.5,109.5,131.7,141.1,projected
"South West",2021-04-23, 69.0, 72.7, 85.9, 96.0,110.0,133.4,145.0,projected
"South West",2021-04-24, 67.7, 71.2, 85.3, 95.9,110.6,134.7,148.7,projected
"South West",2021-04-25, 66.2, 70.1, 84.3, 95.6,111.2,137.9,152.3,projected
"South West",2021-04-26, 64.8, 68.8, 83.4, 95.2,111.9,141.1,157.0,projected
"South West",2021-04-27, 63.2, 67.9, 82.8, 95.1,112.7,144.7,161.7,projected
"South West",2021-04-28, 61.7, 67.2, 82.0, 95.1,114.2,149.4,166.1,projected
"South West",2021-04-29, 60.5, 66.5, 81.8, 95.1,115.6,154.9,171.7,projected
"South West",2021-04-30, 59.2, 65.8, 81.9, 95.8,117.2,157.5,179.7,projected
"South West",2021-05-01, 58.6, 64.8, 81.5, 96.1,119.4,162.1,189.0,projected
"East of England",2021-04-11,192.7,196.1,206.7,213.8,221.1,233.0,236.5,projected
"East of England",2021-04-12,187.8,191.5,202.9,210.5,219.0,232.1,236.0,projected
"East of England",2021-04-13,183.8,187.5,199.2,207.4,216.9,230.7,234.7,projected
"East of England",2021-04-14,180.0,183.6,196.1,204.9,214.4,230.3,234.9,projected
"East of England",2021-04-15,176.1,180.4,193.2,202.6,212.9,229.3,234.7,projected
"East of England",2021-04-16,172.7,177.0,190.4,200.5,210.9,229.3,235.5,projected
"East of England",2021-04-17,168.2,173.4,187.2,198.2,209.6,228.8,235.6,projected
"East of England",2021-04-18,164.9,169.7,184.5,196.5,208.4,229.1,236.4,projected
"East of England",2021-04-19,162.0,166.5,182.0,194.8,207.6,230.0,236.9,projected
"East of England",2021-04-20,158.6,163.3,179.4,192.9,206.7,230.6,237.8,projected
"East of England",2021-04-21,155.2,160.9,177.1,191.2,206.1,229.9,238.4,projected
"East of England",2021-04-22,152.2,158.8,175.1,190.1,205.4,230.2,239.3,projected
"East of England",2021-04-23,149.1,156.1,173.6,189.3,205.0,231.6,242.0,projected
"East of England",2021-04-24,146.5,153.0,171.8,188.1,204.7,232.3,244.3,projected
"East of England",2021-04-25,143.5,150.7,169.8,186.9,203.8,234.9,247.7,projected
"East of England",2021-04-26,140.4,148.5,168.0,185.5,203.8,237.3,250.4,projected
"East of England",2021-04-27,138.7,146.2,166.5,184.1,203.5,239.4,251.8,projected
"East of England",2021-04-28,136.8,143.8,164.8,182.6,203.3,241.2,255.6,projected
"East of England",2021-04-29,135.3,141.9,163.9,182.3,204.0,243.7,258.4,projected
"East of England",2021-04-30,133.3,139.8,162.4,181.7,204.7,246.6,262.0,projected
"East of England",2021-05-01,131.7,138.2,161.5,181.7,205.0,249.9,267.0,projected
"South East",2021-04-11,241.6,245.8,257.7,265.7,274.4,287.1,291.2,projected
"South East",2021-04-12,236.9,240.6,253.3,262.5,271.2,285.8,290.1,projected
"South East",2021-04-13,230.9,235.1,249.2,259.0,269.0,284.7,288.6,projected
"South East",2021-04-14,225.8,230.7,245.6,255.9,266.9,283.6,288.0,projected
"South East",2021-04-15,221.6,226.9,242.8,253.3,265.4,283.1,289.0,projected
"South East",2021-04-16,217.2,223.1,239.8,250.9,263.7,282.8,289.4,projected
"South East",2021-04-17,211.7,219.1,236.6,248.8,262.0,283.2,290.3,projected
"South East",2021-04-18,207.7,215.2,233.7,246.5,260.8,284.5,291.6,projected
"South East",2021-04-19,203.8,210.9,230.8,244.4,259.7,286.6,293.1,projected
"South East",2021-04-20,199.5,207.5,227.8,242.5,259.1,287.7,296.4,projected
"South East",2021-04-21,196.0,204.5,225.9,241.2,258.0,288.3,298.8,projected
"South East",2021-04-22,193.3,201.8,223.6,239.6,257.5,289.9,301.0,projected
"South East",2021-04-23,190.8,199.0,221.8,238.5,257.8,291.9,303.4,projected
"South East",2021-04-24,188.2,196.1,219.7,237.2,257.7,294.7,306.1,projected
"South East",2021-04-25,185.8,193.3,218.4,236.4,258.3,297.5,309.3,projected
"South East",2021-04-26,183.1,190.9,216.8,235.9,258.7,300.4,313.3,projected
"South East",2021-04-27,180.3,188.4,215.0,235.7,259.7,303.7,317.6,projected
"South East",2021-04-28,177.7,186.2,213.7,235.2,260.0,307.4,322.3,projected
"South East",2021-04-29,175.9,185.2,212.4,235.2,261.0,311.1,327.2,projected
"South East",2021-04-30,173.9,182.7,211.4,235.4,262.6,315.2,333.3,projected
"South East",2021-05-01,171.9,182.3,210.4,235.7,264.6,320.2,339.9,projected
"London",2021-04-11,285.2,291.4,308.0,320.9,334.0,354.2,363.1,projected
"London",2021-04-12,279.5,285.5,303.6,318.3,333.3,354.7,365.4,projected
"London",2021-04-13,273.3,279.6,299.6,315.2,332.3,357.1,369.2,projected
"London",2021-04-14,267.3,274.1,296.3,312.7,331.3,359.0,371.8,projected
"London",2021-04-15,261.8,267.7,292.4,309.9,330.7,360.7,374.6,projected
"London",2021-04-16,254.7,262.3,288.2,307.4,331.0,364.9,378.4,projected
"London",2021-04-17,248.4,256.5,283.6,305.1,330.2,368.7,383.4,projected
"London",2021-04-18,242.4,251.1,279.0,302.9,328.8,372.0,389.4,projected
"London",2021-04-19,235.5,245.1,275.3,300.7,328.5,376.2,395.7,projected
"London",2021-04-20,229.9,239.2,272.0,299.3,328.4,379.7,398.9,projected
"London",2021-04-21,223.6,233.4,268.6,296.4,329.2,384.4,405.5,projected
"London",2021-04-22,217.9,229.2,265.5,295.6,329.4,388.9,413.7,projected
"London",2021-04-23,213.0,224.7,263.2,293.7,329.9,393.1,422.5,projected
"London",2021-04-24,207.3,219.3,260.2,292.1,330.8,397.7,428.3,projected
"London",2021-04-25,202.1,214.2,257.0,290.4,332.2,404.1,439.4,projected
"London",2021-04-26,196.7,208.4,254.0,288.9,333.0,410.4,447.5,projected
"London",2021-04-27,191.7,204.6,250.9,287.5,334.2,417.8,454.7,projected
"London",2021-04-28,187.8,200.5,247.8,287.1,336.8,422.9,458.2,projected
"London",2021-04-29,183.5,197.3,244.8,285.5,337.9,429.6,464.9,projected
"London",2021-04-30,179.1,192.7,241.6,285.5,339.9,440.1,475.4,projected
"London",2021-05-01,175.4,189.1,239.0,285.1,341.1,448.2,488.0,projected
"Scotland",2021-04-11,240.7,248.4,265.8,280.3,294.6,316.0,323.2,projected
"Scotland",2021-04-12,228.9,236.7,255.9,271.7,288.2,311.2,318.2,projected
"Scotland",2021-04-13,217.6,224.7,246.2,263.2,281.8,306.6,316.3,projected
"Scotland",2021-04-14,206.7,214.9,237.5,256.1,276.2,303.6,312.1,projected
"Scotland",2021-04-15,197.5,205.5,230.1,250.1,272.0,301.9,312.8,projected
"Scotland",2021-04-16,187.5,195.7,223.4,244.8,268.7,302.3,314.6,projected
