Country,area,Date,cases_new,cases_new_smoothed
England,Adur,2020-01-30,0.0,
England,Adur,2020-01-31,0.0,
England,Adur,2020-02-01,0.0,
England,Adur,2020-02-02,0.0,0.0
England,Adur,2020-02-03,0.0,0.0
England,Adur,2020-02-04,0.0,0.0
England,Adur,2020-02-05,0.0,0.0
England,Adur,2020-02-06,0.0,0.0
England,Adur,2020-02-07,0.0,0.0
England,Adur,2020-02-08,0.0,0.0
England,Adur,2020-02-09,0.0,0.0
England,Adur,2020-02-10,0.0,0.0
England,Adur,2020-02-11,0.0,0.0
England,Adur,2020-02-12,0.0,0.0
England,Adur,2020-02-13,0.0,0.0
England,Adur,2020-02-14,0.0,0.0
England,Adur,2020-02-15,0.0,0.0
England,Adur,2020-02-16,0.0,0.0
England,Adur,2020-02-17,0.0,0.0
England,Adur,2020-02-18,0.0,0.0
England,Adur,2020-02-19,0.0,0.0
England,Adur,2020-02-20,0.0,0.0
England,Adur,2020-02-21,0.0,0.0
England,Adur,2020-02-22,0.0,0.0
England,Adur,2020-02-23,0.0,0.0
England,Adur,2020-02-24,0.0,0.0
England,Adur,2020-02-25,0.0,0.0
England,Adur,2020-02-26,0.0,0.0
England,Adur,2020-02-27,0.0,0.0
England,Adur,2020-02-28,0.0,0.0
England,Adur,2020-02-29,0.0,0.0
England,Adur,2020-03-01,0.0,0.0
England,Adur,2020-03-02,0.0,0.0
England,Adur,2020-03-03,0.0,0.0
England,Adur,2020-03-04,0.0,0.0
England,Adur,2020-03-05,0.0,0.0
England,Adur,2020-03-06,0.0,0.0
England,Adur,2020-03-07,0.0,0.0
England,Adur,2020-03-08,0.0,0.0
England,Adur,2020-03-09,0.0,0.0
England,Adur,2020-03-10,0.0,0.0
England,Adur,2020-03-11,0.0,0.0
England,Adur,2020-03-12,0.0,0.0
England,Adur,2020-03-13,0.0,0.0
England,Adur,2020-03-14,0.0,0.0
England,Adur,2020-03-15,0.0,0.0
England,Adur,2020-03-16,0.0,0.14285714285714285
England,Adur,2020-03-17,0.0,0.14285714285714285
England,Adur,2020-03-18,0.0,0.14285714285714285
England,Adur,2020-03-19,1.0,0.2857142857142857
England,Adur,2020-03-20,0.0,0.42857142857142855
England,Adur,2020-03-21,0.0,0.5714285714285714
England,Adur,2020-03-22,1.0,0.7142857142857143
England,Adur,2020-03-23,1.0,0.8571428571428571
England,Adur,2020-03-24,1.0,1.0
England,Adur,2020-03-25,1.0,1.0
England,Adur,2020-03-26,2.0,1.0
England,Adur,2020-03-27,1.0,1.0
England,Adur,2020-03-28,0.0,1.1428571428571428
England,Adur,2020-03-29,1.0,1.1428571428571428
England,Adur,2020-03-30,1.0,1.0
England,Adur,2020-03-31,2.0,1.5714285714285714
England,Adur,2020-04-01,1.0,2.0
England,Adur,2020-04-02,1.0,2.0
England,Adur,2020-04-03,5.0,2.5714285714285716
England,Adur,2020-04-04,3.0,3.2857142857142856
England,Adur,2020-04-05,1.0,4.0
England,Adur,2020-04-06,5.0,4.142857142857143
England,Adur,2020-04-07,7.0,3.4285714285714284
England,Adur,2020-04-08,6.0,3.142857142857143
England,Adur,2020-04-09,2.0,3.2857142857142856
England,Adur,2020-04-10,0.0,2.7142857142857144
England,Adur,2020-04-11,1.0,2.2857142857142856
England,Adur,2020-04-12,2.0,2.0
England,Adur,2020-04-13,1.0,2.7142857142857144
England,Adur,2020-04-14,4.0,3.142857142857143
England,Adur,2020-04-15,4.0,3.7142857142857144
England,Adur,2020-04-16,7.0,3.5714285714285716
England,Adur,2020-04-17,3.0,3.857142857142857
England,Adur,2020-04-18,5.0,4.142857142857143
England,Adur,2020-04-19,1.0,4.428571428571429
