area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2020-12-27, 3092.2, 3092.2, 3767.4, 3931.4, 4068.2, 4083.0, 4083.0,inferred
"North East and Yorkshire",2020-12-28, 3604.5, 3604.5, 4030.0, 4081.5, 4093.6, 4199.8, 4199.8,inferred
"North East and Yorkshire",2020-12-29, 3971.5, 3971.8, 4082.3, 4144.2, 4271.7, 4422.2, 4422.5,inferred
"North East and Yorkshire",2020-12-30, 4049.6, 4052.8, 4143.8, 4185.5, 4410.3, 4583.7, 4587.0,inferred
"North East and Yorkshire",2020-12-31, 4091.6, 4098.9, 4187.8, 4253.0, 4461.3, 4610.9, 4618.1,inferred
"North East and Yorkshire",2021-01-01, 4173.8, 4181.2, 4242.5, 4312.0, 4469.8, 4584.0, 4595.7,inferred
"North East and Yorkshire",2021-01-02, 4265.8, 4277.7, 4323.5, 4376.3, 4476.9, 4563.9, 4578.3,inferred
"North East and Yorkshire",2021-01-03, 4347.5, 4362.9, 4406.8, 4452.7, 4511.3, 4572.3, 4584.0,inferred
"North East and Yorkshire",2021-01-04, 4415.9, 4430.7, 4482.4, 4522.5, 4560.2, 4612.2, 4629.9,inferred
"North East and Yorkshire",2021-01-05, 4460.2, 4480.6, 4537.6, 4577.4, 4617.7, 4677.5, 4697.0,inferred
"North East and Yorkshire",2021-01-06, 4445.5, 4463.1, 4514.8, 4555.2, 4593.4, 4645.2, 4668.2,inferred
"North East and Yorkshire",2021-01-07, 4345.3, 4361.0, 4406.3, 4440.2, 4477.7, 4522.9, 4536.6,inferred
"North East and Yorkshire",2021-01-08, 4215.4, 4227.4, 4265.8, 4297.4, 4327.3, 4368.0, 4382.2,inferred
"North East and Yorkshire",2021-01-09, 4083.0, 4090.9, 4129.5, 4157.6, 4188.9, 4224.1, 4236.0,inferred
"North East and Yorkshire",2021-01-10, 3955.1, 3964.3, 4004.2, 4031.4, 4062.7, 4102.0, 4110.6,inferred
"North East and Yorkshire",2021-01-11, 3839.4, 3851.2, 3888.1, 3916.6, 3946.5, 3990.9, 4002.9,inferred
"North East and Yorkshire",2021-01-12, 3732.4, 3747.3, 3784.8, 3814.1, 3844.1, 3888.6, 3903.3,inferred
"North East and Yorkshire",2021-01-13, 3654.4, 3665.8, 3701.8, 3729.7, 3759.4, 3800.5, 3813.5,inferred
"North East and Yorkshire",2021-01-14, 3594.6, 3607.3, 3637.9, 3662.4, 3689.3, 3725.4, 3734.3,inferred
"North East and Yorkshire",2021-01-15, 3544.4, 3554.2, 3582.2, 3604.1, 3626.1, 3659.5, 3667.4,inferred
"North East and Yorkshire",2021-01-16, 3488.8, 3499.7, 3528.4, 3548.1, 3568.6, 3598.6, 3609.5,inferred
"North East and Yorkshire",2021-01-17, 3434.1, 3444.8, 3475.7, 3495.3, 3516.7, 3547.0, 3557.6,inferred
"North East and Yorkshire",2021-01-18, 3374.6, 3384.4, 3419.9, 3442.5, 3464.7, 3497.5, 3508.3,inferred
"North East and Yorkshire",2021-01-19, 3312.0, 3324.5, 3362.3, 3385.5, 3411.2, 3446.7, 3459.2,inferred
"North East and Yorkshire",2021-01-20, 3242.3, 3252.3, 3289.5, 3312.9, 3340.5, 3376.0, 3387.5,inferred
"North East and Yorkshire",2021-01-21, 3161.7, 3169.1, 3201.6, 3224.8, 3248.9, 3280.0, 3289.4,inferred
"North East and Yorkshire",2021-01-22, 3075.6, 3083.1, 3111.3, 3131.3, 3152.0, 3178.7, 3189.0,inferred
"North East and Yorkshire",2021-01-23, 2986.8, 2994.0, 3021.4, 3040.5, 3060.5, 3086.9, 3095.7,inferred
"North East and Yorkshire",2021-01-24, 2905.0, 2912.3, 2940.6, 2959.8, 2979.5, 3009.2, 3016.6,inferred
"North East and Yorkshire",2021-01-25, 2825.8, 2834.6, 2863.7, 2884.8, 2905.8, 2936.9, 2947.1,inferred
