area,Rt_lower,Rt_median,Rt_upper
"Barking and Dagenham",0.84,1.03,1.5
"Barnet",0.86,1.06,1.3
"Barnsley",0.27,0.56,1.0
"Bath and North East Somerset",0.86,1.17,1.6
"Bedford",0.71,0.93,1.2
"Bexley",0.82,1.04,1.3
"Birmingham",0.96,1.11,1.3
"Blackburn with Darwen",1.04,1.22,1.4
"Blackpool",0.87,1.17,1.6
"Bolton",0.72,1.12,1.4
"Bournemouth, Christchurch and Poole",0.85,1.18,1.8
"Bracknell Forest",0.79,1.12,1.5
"Bradford",1.02,1.17,1.4
"Brent",0.94,1.12,1.8
"Brighton and Hove",0.82,1.09,1.6
"Bristol, City of",0.92,1.20,1.7
"Bromley",0.76,1.05,1.3
"Buckinghamshire",0.80,1.05,1.3
"Bury",1.02,1.24,1.6
"Calderdale",0.98,1.16,1.4
"Cambridgeshire",0.66,0.90,1.1
"Camden",0.90,1.09,1.5
"Central Bedfordshire",0.34,0.82,1.1
"Cheshire East",0.72,1.11,1.4
"Cheshire West and Chester",0.86,1.16,1.5
"Cornwall and Isles of Scilly",0.88,1.36,2.4
"County Durham",0.73,1.00,1.3
"Coventry",0.90,1.11,1.7
"Croydon",0.87,1.08,1.5
"Cumbria",0.83,1.09,1.4
"Darlington",0.65,0.99,1.3
"Derby",0.55,0.92,1.1
"Derbyshire",0.79,1.01,1.3
"Devon",0.72,1.08,1.5
"Doncaster",0.61,0.89,1.1
"Dorset",0.66,1.10,1.5
"Dudley",0.91,1.13,1.4
"Ealing",0.79,1.08,1.3
"East Riding of Yorkshire",0.64,0.93,1.3
"East Sussex",0.63,0.94,1.2
"Enfield",0.62,1.00,1.2
"Essex",0.74,0.94,1.2
"Gateshead",0.57,0.90,1.2
"Gloucestershire",0.94,1.22,1.7
"Greenwich",0.91,1.12,2.2
"Hackney and City of London",0.90,1.07,1.3
"Halton",0.74,1.17,1.5
"Hammersmith and Fulham",0.91,1.11,1.6
"Hampshire",0.93,1.19,1.6
"Haringey",0.79,1.04,1.2
"Harrow",0.88,1.08,1.4
